timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/09/13 11:07:13.403, 0 %, 2 MiB, 78.57 W, 600 MHz, 7001 MHz, 43
2026/09/13 11:07:13.655, 0 %, 544 MiB, 78.57 W, 600 MHz, 7001 MHz, 43
2026/09/13 11:07:13.905, 0 %, 544 MiB, 57.10 W, 1770 MHz, 13801 MHz, 43
2026/09/13 11:07:14.156, 0 %, 2080 MiB, 57.10 W, 1770 MHz, 13801 MHz, 43
2026/09/13 11:07:14.406, 25 %, 4544 MiB, 65.54 W, 2572 MHz, 13801 MHz, 43
2026/09/13 11:07:14.656, 25 %, 7136 MiB, 65.54 W, 2572 MHz, 13801 MHz, 43
2026/09/13 11:07:14.906, 53 %, 10304 MiB, 93.93 W, 2617 MHz, 13801 MHz, 44
2026/09/13 11:07:15.156, 53 %, 10400 MiB, 93.93 W, 2617 MHz, 13801 MHz, 44
2026/09/13 11:07:15.407, 99 %, 10400 MiB, 178.18 W, 2737 MHz, 13801 MHz, 50
2026/09/13 11:07:15.657, 99 %, 10400 MiB, 178.18 W, 2737 MHz, 13801 MHz, 50
2026/09/13 11:07:15.907, 99 %, 10400 MiB, 330.77 W, 2902 MHz, 13801 MHz, 51
2026/09/13 11:07:16.157, 99 %, 10400 MiB, 330.77 W, 2902 MHz, 13801 MHz, 51
2026/09/13 11:07:16.407, 98 %, 10400 MiB, 412.20 W, 2872 MHz, 13801 MHz, 53
2026/09/13 11:07:16.657, 98 %, 10400 MiB, 412.20 W, 2872 MHz, 13801 MHz, 53
2026/09/13 11:07:16.907, 0 %, 4 MiB, 324.42 W, 2895 MHz, 14001 MHz, 46
2026/09/13 11:07:17.159, 0 %, 544 MiB, 324.42 W, 2895 MHz, 14001 MHz, 46
2026/09/13 11:07:17.409, 0 %, 544 MiB, 161.75 W, 2902 MHz, 13801 MHz, 45
2026/09/13 11:07:17.659, 0 %, 3168 MiB, 161.75 W, 2902 MHz, 13801 MHz, 45
2026/09/13 11:07:17.909, 27 %, 5760 MiB, 104.23 W, 2902 MHz, 13801 MHz, 44
2026/09/13 11:07:18.159, 27 %, 10304 MiB, 104.23 W, 2902 MHz, 13801 MHz, 44
2026/09/13 11:07:18.409, 4 %, 10400 MiB, 110.23 W, 2902 MHz, 13801 MHz, 44
2026/09/13 11:07:18.660, 4 %, 10400 MiB, 110.23 W, 2902 MHz, 13801 MHz, 44
2026/09/13 11:07:18.910, 99 %, 10400 MiB, 231.75 W, 2880 MHz, 13801 MHz, 50
2026/09/13 11:07:19.160, 99 %, 10400 MiB, 231.75 W, 2880 MHz, 13801 MHz, 50
2026/09/13 11:07:19.410, 99 %, 10400 MiB, 377.58 W, 2902 MHz, 13801 MHz, 54
2026/09/13 11:07:19.660, 99 %, 10400 MiB, 377.58 W, 2902 MHz, 13801 MHz, 54
2026/09/13 11:07:19.910, 98 %, 10400 MiB, 414.31 W, 2865 MHz, 13801 MHz, 53
2026/09/13 11:07:20.160, 98 %, 2 MiB, 414.31 W, 2865 MHz, 13801 MHz, 53
2026/09/13 11:07:20.415, 0 %, 544 MiB, 297.36 W, 2902 MHz, 14001 MHz, 46
2026/09/13 11:07:20.665, 0 %, 544 MiB, 297.36 W, 2902 MHz, 14001 MHz, 46
2026/09/13 11:07:20.915, 0 %, 2048 MiB, 146.91 W, 2902 MHz, 13801 MHz, 45
2026/09/13 11:07:21.165, 0 %, 4512 MiB, 146.91 W, 2902 MHz, 13801 MHz, 45
2026/09/13 11:07:21.416, 27 %, 7136 MiB, 102.61 W, 2902 MHz, 13801 MHz, 45
2026/09/13 11:07:21.666, 27 %, 10304 MiB, 102.61 W, 2902 MHz, 13801 MHz, 45
2026/09/13 11:07:21.916, 20 %, 10400 MiB, 116.81 W, 2902 MHz, 13801 MHz, 44
2026/09/13 11:07:22.166, 20 %, 10400 MiB, 116.81 W, 2902 MHz, 13801 MHz, 44
2026/09/13 11:07:22.416, 99 %, 10400 MiB, 253.29 W, 2902 MHz, 13801 MHz, 51
