procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 144409548 860536 272534520    0    0    13  1285 1666    0  1  0 99  0  0  0
 2  0      0 142074992 860540 272550968    0    0     0     0 11625 27691  2  2 96  0  0  0
 2  0      0 141730456 860828 272551264    0    0     0   194 3522 2338  3  1 96  0  0  0
 2  0      0 141737028 860940 272551268    0    0     0  2514 3227 1855  3  1 96  0  0  0
 2  0      0 141754580 861036 272551284    0    0     0    43 2958 2146  3  1 96  0  0  0
 2  0      0 141770356 861068 272551312    0    0     0    26 3181 1709  3  1 96  0  0  0
 2  0      0 141796108 861100 272551312    0    0     0    16 3432 1797  3  1 96  0  0  0
 2  0      0 141794072 861148 272551364    0    0     0    48 4157 2303  4  1 96  0  0  0
 2  0      0 141830228 861308 272551392    0    0     0    88 3661 2611  4  0 96  0  0  0
 2  0      0 141871144 861468 272551428    0    0     0   136 3691 2772  4  0 96  0  0  0
 2  0      0 141898376 861628 272551472    0    0     0    84 3725 2676  4  0 96  0  0  0
 2  0      0 141916968 861788 272551492    0    0     0    84 3605 2784  4  0 96  0  0  0
 2  0      0 141930516 861932 272551544    0    0     0    70 3653 2576  4  0 96  0  0  0
 2  0      0 141955580 862092 272551592    0    0     0  1198 3782 2857  4  0 96  0  0  0
 2  0      0 141964708 862252 272551632    0    0     0    98 3678 2711  4  0 96  0  0  0
 2  0      0 141968408 862412 272551676    0    0     0   100 3415 2802  4  0 96  0  0  0
 2  0      0 141969544 862572 272551704    0    0     0   106 3840 2952  4  0 96  0  0  0
 2  0      0 141970648 862732 272551740    0    0     0    78 3614 2728  4  0 96  0  0  0
 2  0      0 141969920 862892 272551788    0    0     0    84 3665 2727  4  0 96  0  0  0
 2  0      0 141970712 863180 272551860    0    0     0   150 3814 3337  4  0 96  0  0  0
 2  0      0 141970460 863340 272551888    0    0     0    97 3706 2764  4  0 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 141969956 863484 272551932    0    0     0   102 3526 2775  4  0 96  0  0  0
 2  0      0 141969716 863644 272551976    0    0     0  1439 3702 2772  4  0 96  0  0  0
 2  0      0 141969464 863804 272552020    0    0     0   106 3674 2720  4  0 96  0  0  0
 2  0      0 141968960 863964 272552056    0    0     0    83 3615 2759  4  0 96  0  0  0
 2  0      0 141966056 864124 272552108    0    0     0    84 4305 3001  4  0 96  0  0  0
 2  0      0 141976780 864284 272552136    0    0     0    80 3735 2836  4  0 96  0  0  0
 2  0      0 141979964 864380 272552172    0    0     0    56 3619 2602  4  0 96  0  0  0
 2  0      0 141979712 864540 272552204    0    0     0   114 3678 2747  4  0 96  0  0  0
 2  0      0 141979236 864700 272552252    0    0     0    83 3679 2637  4  0 96  0  0  0
 2  0      0 141978760 864860 272552288    0    0     0   107 3664 2768  4  0 96  0  0  0
 2  0      0 141978508 865020 272552332    0    0     0  1252 3568 2655  4  0 96  0  0  0
 2  0      0 141978032 865260 272552376    0    0     0   118 3667 2755  4  0 96  0  0  0
 2  0      0 141977780 865420 272552416    0    0     0    83 3561 2693  4  0 96  0  0  0
 2  0      0 141977276 865580 272552452    0    0     0   102 3635 2776  4  0 96  0  0  0
 2  0      0 141974824 865740 272552492    0    0     0    91 4006 2935  4  0 96  0  0  0
 2  0      0 141974824 865900 272552536    0    0     0    85 3375 2778  4  0 96  0  0  0
 2  0      0 141976712 866060 272552576    0    0     0   104 3747 2805  4  0 96  0  0  0
 2  0      0 141976716 866220 272552616    0    0     0    86 3614 2783  4  0 96  0  0  0
 2  0      0 141976464 866380 272552656    0    0     0    82 3684 2749  4  0 96  0  0  0
 2  0      0 141976212 866540 272552692    0    0     0    85 3609 2736  4  0 96  0  0  0
 2  0      0 141975708 866700 272552728    0    0     0  1226 3735 2753  4  0 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 141975456 866868 272552776    0    0     0    98 3696 2770  4  0 96  0  0  0
 3  0      0 141949500 867032 272552836    0    0     0    92 3813 2890  4  0 96  0  0  0
 2  0      0 141957608 867256 272552864    0    0     0   110 3996 3148  4  0 96  0  0  0
 2  0      0 141964428 867400 272552908    0    0     0    98 3590 2897  4  0 96  0  0  0
 2  0      0 141965952 867560 272552948    0    0     0    89 3583 2629  4  0 96  0  0  0
 2  0      0 141965700 867720 272552988    0    0     0    84 3666 2738  4  0 96  0  0  0
 2  0      0 141965700 867880 272553020    0    0     0    83 3599 2656  4  0 96  0  0  0
 2  0      0 141968848 868044 272553060    0    0     0   101 3735 2785  4  0 96  0  0  0
 2  0      0 141968596 868204 272553100    0    0     0  1382 3662 2698  4  0 96  0  0  0
 2  0      0 141968596 868364 272553132    0    0     0    88 3687 2774  4  0 96  0  0  0
 2  0      0 141968344 868524 272553168    0    0     0    95 3545 2625  4  0 96  0  0  0
 2  0      0 141968344 868620 272553192    0    0     0    58 3494 2681  4  0 96  0  0  0
 2  0      0 141967588 868780 272553236    0    0     0    83 3702 2701  4  0 96  0  0  0
 2  0      0 141964048 868944 272553288    0    0     0    98 4015 2921  4  0 96  0  0  0
 2  0      0 141964048 869120 272553324    0    0     0   121 3687 2468  4  0 96  0  0  0
 2  0      0 141963040 869408 272553392    0    0     0   902 3985 3416  4  0 96  0  0  0
 2  0      0 141961780 869568 272553440    0    0     0    94 3723 2775  4  0 96  0  0  0
 2  0      0 141961528 869728 272553464    0    0     0    86 3714 2753  4  0 96  0  0  0
 2  0      0 141961276 869888 272553508    0    0     0    83 3660 2783  4  0 96  0  0  0
 2  0      0 141965264 870052 272553544    0    0     0   101 3585 2811  4  0 96  0  0  0
 2  0      0 141965668 870212 272553580    0    0     0    83 3670 2746  4  0 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 141963412 870372 272553628    0    0     0    92 3710 2815  4  0 96  0  0  0
 2  0      0 141968428 870516 272553664    0    0     0    81 3777 2800  4  0 96  0  0  0
 2  0      0 141967420 870676 272553708    0    0     0   109 3698 2754  4  0 96  0  0  0
 2  0      0 141967156 870836 272553744    0    0     0    83 3629 2752  4  0 96  0  0  0
 2  0      0 141966428 871000 272553788    0    0     0    99 3668 2677  4  0 96  0  0  0
 2  0      0 141966428 871160 272553820    0    0     0    77 3742 2794  4  0 96  0  0  0
 2  0      0 141966180 871320 272553856    0    0     0    83 3767 2753  4  0 96  0  0  0
 2  0      0 141965424 871512 272553904    0    0     0   616 3791 2984  4  0 96  0  0  0
 2  0      0 141965200 871640 272553932    0    0     0    82 3590 2603  4  0 96  0  0  0
 2  0      0 141964948 871800 272553980    0    0     0   424 3696 2774  4  0 96  0  0  0
 2  0      0 141952900 871960 272554016    0    0     0   101 3879 2738  4  0 96  0  0  0
 2  0      0 141952396 872120 272554048    0    0     0    83 3693 2810  4  0 96  0  0  0
 2  0      0 141952144 872280 272554096    0    0     0    83 3672 2645  4  0 96  0  0  0
 2  0      0 141951892 872440 272554124    0    0     0    77 3679 2787  4  0 96  0  0  0
 2  0      0 141951640 872600 272554172    0    0     0    92 3622 2672  4  0 96  0  0  0
 2  0      0 141951672 872760 272554212    0    0     0   111 3716 2837  4  0 96  0  0  0
 2  0      0 141951168 872912 272554252    0    0     0   106 3689 2614  4  0 96  0  0  0
 2  0      0 141950916 873096 272554300    0    0     0    95 3661 2795  4  0 96  0  0  0
 2  0      0 141950412 873256 272554336    0    0     0    83 3639 2754  4  0 96  0  0  0
 2  0      0 141949620 873480 272554400    0    0     0   110 3866 3228  4  0 96  0  0  0
 2  0      0 141949116 873688 272554452    0    0     0   103 3713 2847  4  0 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 141948864 873848 272554492    0    0     0    94 3548 2757  4  0 96  0  0  0
 2  0      0 141946776 874012 272554536    0    0     0   107 3601 2787  4  0 96  0  0  0
 3  0      0 141946704 874176 272554564    0    0     0    94 3612 2719  4  0 96  0  0  0
 2  0      0 141946228 874316 272554604    0    0     0    78 3621 2756  4  0 96  0  0  0
 2  0      0 141945976 874436 272554636    0    0     0    60 3525 2638  4  0 96  0  0  0
 2  0      0 141945980 874596 272554668    0    0     0    83 3550 2771  4  0 96  0  0  0
 2  0      0 141945476 874756 272554704    0    0     0    94 3638 2680  4  0 96  0  0  0
 2  0      0 141935660 874916 272554752    0    0     0    85 3710 2780  4  0 96  0  0  0
 2  0      0 141935156 875080 272554784    0    0     0   102 3476 2663  4  0 96  0  0  0
 2  0      0 141934176 875244 272554832    0    0     0    92 3656 2817  4  0 96  0  0  0
 2  0      0 141933700 875404 272554872    0    0     0    83 3620 2664  4  0 96  0  0  0
 2  0      0 141932944 875628 272554916    0    0     0   111 3806 2830  4  0 96  0  0  0
 2  0      0 141932692 875780 272554956    0    0     0    79 3681 2617  4  0 96  0  0  0
 2  0      0 141939696 875932 272554996    0    0     0    87 3609 2774  4  0 96  0  0  0
 2  0      0 141939192 876096 272555024    0    0     0   106 3569 2705  4  0 96  0  0  0
 2  0      0 141938940 876260 272555064    0    0     0    95 3589 2782  4  0 96  0  0  0
 2  0      0 141937948 876420 272555112    0    0     0    83 3762 2762  4  0 96  0  0  0
 2  0      0 141937444 876580 272555152    0    0     0    83 3726 2735  4  0 96  0  0  0
 2  0      0 141937192 876740 272555196    0    0     0    83 3598 2766  4  0 96  0  0  0
 2  0      0 141936688 876900 272555220    0    0     0    86 3397 2730  4  0 96  0  0  0
 2  0      0 141936688 877096 272555268    0    0     0   115 3593 2855  4  0 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 141936436 877264 272555304    0    0     0   110 3507 2771  4  0 96  0  0  0
 2  0      0 141936184 877424 272555344    0    0     0    83 3602 2777  4  0 96  0  0  0
 2  0      0 141935680 877608 272555384    0    0     0    93 3697 2857  4  0 96  0  0  0
 2  0      0 141934980 877792 272555444    0    0     0    93 3720 3137  4  0 96  0  0  0
 2  0      0 141939784 877952 272555488    0    0     0    94 3678 2750  4  0 96  0  0  0
 2  0      0 141939056 878116 272555528    0    0     0    95 3607 2817  4  0 96  0  0  0
 2  0      0 141938580 878280 272555564    0    0     0    95 3662 2643  4  0 96  0  0  0
 2  0      0 141938328 878440 272555564    0    0     0    93 3568 2745  4  0 96  0  0  0
