index, name, memory.used [MiB], temperature.gpu
0, NVIDIA H100 80GB HBM3, 0 MiB, 37
1, NVIDIA H100 80GB HBM3, 0 MiB, 39
2, NVIDIA H100 80GB HBM3, 0 MiB, 37
3, NVIDIA H100 80GB HBM3, 0 MiB, 40
4, NVIDIA H100 80GB HBM3, 0 MiB, 40
5, NVIDIA H100 80GB HBM3, 0 MiB, 38
6, NVIDIA H100 80GB HBM3, 0 MiB, 39
7, NVIDIA H100 80GB HBM3, 0 MiB, 37
