# qwen4exp_real_gate	label=m11-ladder-thinkon	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=2 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	12.89	77.55	0.650	1.83	1.63	20.89	32	26
0	defer	256	12.85	77.82	0.650	1.83	1.73	20.73	32	26
0	defer-gsync	256	12.82	78.02	0.650	1.83	1.63	20.77	32	26
1	host	256	12.69	78.79	0.650	1.83	1.66	20.56	32	26
1	defer	256	12.75	78.45	0.650	1.83	1.77	20.57	32	26
1	defer-gsync	256	12.65	79.05	0.650	1.83	1.66	20.50	32	26
2	host	256	12.69	78.81	0.650	1.83	1.66	20.56	32	26
2	defer	256	12.78	78.22	0.650	1.83	1.75	20.63	32	26
2	defer-gsync	256	12.71	78.67	0.650	1.83	1.64	20.59	32	26
3	host	256	12.81	78.03	0.650	1.83	1.63	20.75	32	26
3	defer	256	12.82	78.00	0.650	1.83	1.73	20.66	32	26
3	defer-gsync	256	12.80	78.13	0.650	1.83	1.62	20.72	32	26
4	host	256	12.82	78.03	0.650	1.83	1.63	20.74	32	26
4	defer	256	12.71	78.66	0.650	1.83	1.77	20.51	32	26
4	defer-gsync	256	12.62	79.24	0.650	1.83	1.67	20.46	32	26
# arm host	reps=5	median_ms=12.815	spread_abs_ms=0.206	spread_rel=1.6046%	mean_ms=12.781	tok_per_s=78.03
# arm defer	reps=5	median_ms=12.785	spread_abs_ms=0.136	spread_rel=1.0645%	mean_ms=12.783	tok_per_s=78.22
# arm defer-gsync	reps=5	median_ms=12.712	spread_abs_ms=0.198	spread_rel=1.5576%	mean_ms=12.720	tok_per_s=78.67
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=1.6203%	spread_rel_arm=0.8095%	verdict_ms=0.093	pooled_spread_ms=0.155
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=1.6203%	spread_rel_arm=1.3193%	verdict_ms=0.021	pooled_spread_ms=0.187
# speedup_defer_over_host	1.0024	(decision medians)
# identity	PASS
