# qwen4exp_real_gate	label=m11-efflow	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=5 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	12.81	78.08	0.586	2.15	2.47	24.00	11	6
0	defer	256	12.80	78.11	0.586	2.15	2.58	23.88	11	6
0	defer-gsync	256	12.75	78.43	0.586	2.15	2.45	23.90	11	6
1	host	256	12.68	78.89	0.586	2.15	2.46	23.73	11	6
1	defer	256	12.55	79.68	0.586	2.15	2.58	23.34	11	6
1	defer-gsync	256	12.54	79.73	0.586	2.15	2.46	23.46	11	6
2	host	256	12.51	79.95	0.586	2.15	2.47	23.38	11	6
2	defer	256	12.54	79.73	0.586	2.15	2.59	23.34	11	6
2	defer-gsync	256	12.27	81.49	0.586	2.15	2.46	22.89	11	6
3	host	256	12.31	81.21	0.586	2.15	2.47	22.97	11	6
3	defer	256	12.40	80.62	0.586	2.15	2.59	23.05	11	6
3	defer-gsync	256	12.29	81.34	0.586	2.15	2.46	22.94	11	6
4	host	256	12.30	81.27	0.586	2.15	2.47	22.94	11	6
4	defer	256	12.44	80.40	0.586	2.15	2.58	23.10	11	6
4	defer-gsync	256	12.32	81.20	0.586	2.15	2.46	22.98	11	6
# arm host	reps=5	median_ms=12.507	spread_abs_ms=0.504	spread_rel=4.0272%	mean_ms=12.522	tok_per_s=79.95
# arm defer	reps=5	median_ms=12.543	spread_abs_ms=0.398	spread_rel=3.1724%	mean_ms=12.548	tok_per_s=79.73
# arm defer-gsync	reps=5	median_ms=12.316	spread_abs_ms=0.478	spread_rel=3.8786%	mean_ms=12.435	tok_per_s=81.20
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=2.3699%	spread_rel_arm=2.0686%	verdict_ms=0.126	pooled_spread_ms=0.280
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=2.3699%	spread_rel_arm=3.8087%	verdict_ms=0.135	pooled_spread_ms=0.389
# speedup_defer_over_host	0.9972	(decision medians)
# identity	PASS
