# qwen4exp_real_gate	label=m11-long	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=5 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	16.57	60.33	0.586	1.83	2.20	26.23	38	12
0	defer	256	16.64	60.09	0.586	1.83	2.47	26.10	38	12
0	defer-gsync	256	16.25	61.55	0.586	1.83	2.19	25.68	38	12
1	host	256	16.31	61.31	0.586	1.83	2.20	25.77	38	12
1	defer	256	16.28	61.43	0.586	1.83	2.48	25.45	38	12
1	defer-gsync	256	15.97	62.61	0.586	1.83	2.20	25.17	38	12
2	host	256	16.04	62.36	0.586	1.83	2.20	25.28	38	12
2	defer	256	16.15	61.93	0.586	1.83	2.48	25.21	38	12
2	defer-gsync	256	15.94	62.75	0.586	1.83	2.20	25.11	38	12
3	host	256	15.99	62.54	0.586	1.83	2.20	25.19	38	12
3	defer	256	16.11	62.08	0.586	1.83	2.48	25.14	38	12
3	defer-gsync	256	15.97	62.60	0.586	1.83	2.19	25.16	38	12
4	host	256	16.01	62.47	0.586	1.83	2.20	25.22	38	12
4	defer	256	16.16	61.88	0.586	1.83	2.47	25.22	38	12
4	defer-gsync	256	16.01	62.46	0.586	1.83	2.19	25.22	38	12
# arm host	reps=5	median_ms=16.037	spread_abs_ms=0.584	spread_rel=3.6432%	mean_ms=16.184	tok_per_s=62.36
# arm defer	reps=5	median_ms=16.161	spread_abs_ms=0.534	spread_rel=3.3048%	mean_ms=16.267	tok_per_s=61.88
# arm defer-gsync	reps=5	median_ms=15.974	spread_abs_ms=0.310	spread_rel=1.9410%	mean_ms=16.028	tok_per_s=62.60
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=3.2950%	spread_rel_arm=3.0331%	verdict_ms=0.032	pooled_spread_ms=0.516
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=3.2950%	spread_rel_arm=1.9411%	verdict_ms=0.337	pooled_spread_ms=0.424
# speedup_defer_over_host	0.9923	(decision medians)
# identity	PASS
