# qwen4exp_real_gate	label=m11-ladder-raw	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=8 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	8.38	119.34	0.833	5.02	6.53	34.25	1	1
0	defer	256	8.35	119.69	0.833	5.02	6.61	34.07	1	1
0	defer-gsync	256	8.35	119.83	0.833	5.02	6.49	34.14	1	1
1	host	256	8.32	120.19	0.833	5.02	6.53	33.97	1	1
1	defer	256	8.34	119.92	0.833	5.02	6.62	33.97	1	1
1	defer-gsync	256	8.37	119.49	0.833	5.02	6.49	34.26	1	1
2	host	256	8.31	120.35	0.833	5.02	6.53	33.92	1	1
2	defer	256	8.32	120.19	0.833	5.02	6.61	33.89	1	1
2	defer-gsync	256	8.32	120.25	0.833	5.02	6.49	33.98	1	1
3	host	256	8.31	120.37	0.833	5.02	6.53	33.91	1	1
3	defer	256	8.32	120.24	0.833	5.02	6.61	33.88	1	1
3	defer-gsync	256	8.35	119.71	0.833	5.02	6.49	34.18	1	1
4	host	256	8.32	120.25	0.833	5.02	6.52	33.95	1	1
4	defer	256	8.35	119.77	0.833	5.02	6.61	34.04	1	1
4	defer-gsync	256	8.32	120.22	0.833	5.02	6.49	34.00	1	1
# arm host	reps=5	median_ms=8.316	spread_abs_ms=0.072	spread_rel=0.8601%	mean_ms=8.327	tok_per_s=120.25
# arm defer	reps=5	median_ms=8.339	spread_abs_ms=0.038	spread_rel=0.4540%	mean_ms=8.336	tok_per_s=119.92
# arm defer-gsync	reps=5	median_ms=8.345	spread_abs_ms=0.053	spread_rel=0.6298%	mean_ms=8.340	tok_per_s=119.83
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=0.8424%	spread_rel_arm=0.4163%	verdict_ms=0.018	pooled_spread_ms=0.052
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=0.8424%	spread_rel_arm=0.6298%	verdict_ms=0.025	pooled_spread_ms=0.061
# speedup_defer_over_host	0.9973	(decision medians)
# identity	PASS
