# qwen4exp_real_gate	label=m11-ladder-thinkon	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=5 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	12.73	78.56	0.615	1.94	2.10	21.60	36	27
0	defer	256	12.87	77.72	0.615	1.94	2.30	21.66	36	27
0	defer-gsync	256	12.74	78.51	0.615	1.94	2.08	21.62	36	27
1	host	256	12.76	78.36	0.615	1.94	2.12	21.64	36	27
1	defer	256	12.84	77.91	0.615	1.94	2.30	21.60	36	27
1	defer-gsync	256	12.71	78.65	0.615	1.94	2.08	21.58	36	27
2	host	256	12.77	78.32	0.615	1.94	2.10	21.67	36	27
2	defer	256	12.74	78.50	0.615	1.94	2.30	21.41	36	27
2	defer-gsync	256	12.71	78.70	0.615	1.94	2.08	21.56	36	27
3	host	256	12.74	78.46	0.615	1.94	2.09	21.62	36	27
3	defer	256	12.86	77.79	0.615	1.94	2.30	21.63	36	27
3	defer-gsync	256	12.69	78.79	0.615	1.94	2.08	21.53	36	27
4	host	256	12.77	78.28	0.615	1.94	2.09	21.68	36	27
4	defer	256	12.85	77.81	0.615	1.94	2.29	21.62	36	27
4	defer-gsync	256	12.72	78.60	0.615	1.94	2.07	21.58	36	27
# arm host	reps=5	median_ms=12.761	spread_abs_ms=0.045	spread_rel=0.3491%	mean_ms=12.756	tok_per_s=78.36
# arm defer	reps=5	median_ms=12.852	spread_abs_ms=0.127	spread_rel=0.9920%	mean_ms=12.830	tok_per_s=77.81
# arm defer-gsync	reps=5	median_ms=12.714	spread_abs_ms=0.047	spread_rel=0.3662%	mean_ms=12.714	tok_per_s=78.65
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=0.2996%	spread_rel_arm=0.9932%	verdict_ms=0.074	pooled_spread_ms=0.083
# escalation	pair=host-vs-defer-gsync	rule=b	reps 3->5	spread_rel_host=0.2996%	spread_rel_arm=0.2447%	verdict_ms=0.047	pooled_spread_ms=0.035
# speedup_defer_over_host	0.9930	(decision medians)
# identity	PASS
