# qwen4exp_real_gate	label=m11-thinkon	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=5 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	13.12	76.20	0.615	1.94	2.10	22.34	36	27
0	defer	256	13.24	75.55	0.615	1.94	2.31	22.37	36	27
0	defer-gsync	256	13.09	76.38	0.615	1.94	2.09	22.31	36	27
1	host	256	13.11	76.27	0.615	1.94	2.10	22.34	36	27
1	defer	256	13.03	76.72	0.615	1.94	2.31	21.98	36	27
1	defer-gsync	256	12.85	77.82	0.615	1.94	2.09	21.85	36	27
2	host	256	12.86	77.75	0.615	1.94	2.10	21.86	36	27
2	defer	256	12.97	77.12	0.615	1.94	2.31	21.85	36	27
2	defer-gsync	256	12.79	78.21	0.615	1.94	2.09	21.72	36	27
3	host	256	12.71	78.65	0.615	1.94	2.09	21.56	36	27
3	defer	256	12.85	77.79	0.615	1.94	2.29	21.61	36	27
3	defer-gsync	256	12.69	78.79	0.615	1.94	2.08	21.54	36	27
4	host	256	12.72	78.63	0.615	1.94	2.09	21.58	36	27
4	defer	256	12.75	78.40	0.615	1.94	2.31	21.44	36	27
4	defer-gsync	256	12.63	79.15	0.615	1.94	2.09	21.43	36	27
# arm host	reps=5	median_ms=12.862	spread_abs_ms=0.409	spread_rel=3.1800%	mean_ms=12.906	tok_per_s=77.75
# arm defer	reps=5	median_ms=12.967	spread_abs_ms=0.482	spread_rel=3.7145%	mean_ms=12.970	tok_per_s=77.12
# arm defer-gsync	reps=5	median_ms=12.786	spread_abs_ms=0.458	spread_rel=3.5805%	mean_ms=12.811	tok_per_s=78.21
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=1.9910%	spread_rel_arm=2.0638%	verdict_ms=0.078	pooled_spread_ms=0.265
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=1.9910%	spread_rel_arm=2.3808%	verdict_ms=0.261	pooled_spread_ms=0.284
# speedup_defer_over_host	0.9919	(decision medians)
# identity	PASS
