# qwen4exp_real_gate	label=m11-ladder-thinkon	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=4 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	12.69	78.81	0.630	1.91	1.98	21.27	37	27
0	defer	256	12.76	78.39	0.630	1.91	2.21	21.18	37	27
0	defer-gsync	256	12.61	79.28	0.630	1.91	1.98	21.14	37	27
1	host	256	12.69	78.82	0.630	1.91	1.98	21.27	37	27
1	defer	256	12.77	78.32	0.630	1.91	2.21	21.20	37	27
1	defer-gsync	256	12.70	78.75	0.630	1.91	1.99	21.29	37	27
2	host	256	12.66	78.98	0.630	1.91	1.99	21.22	37	27
2	defer	256	12.73	78.54	0.630	1.91	2.21	21.13	37	27
2	defer-gsync	256	12.66	78.97	0.630	1.91	1.98	21.23	37	27
3	host	256	12.63	79.18	0.630	1.91	1.99	21.16	37	27
3	defer-gsync	256	12.61	79.32	0.630	1.91	1.98	21.13	37	27
4	host	256	12.70	78.77	0.630	1.91	1.99	21.29	37	27
4	defer-gsync	256	12.64	79.09	0.630	1.91	1.98	21.20	37	27
# arm host	reps=5	median_ms=12.686	spread_abs_ms=0.066	spread_rel=0.5207%	mean_ms=12.672	tok_per_s=78.82
# arm defer	reps=3	median_ms=12.757	spread_abs_ms=0.035	spread_rel=0.2712%	mean_ms=12.753	tok_per_s=78.39
# arm defer-gsync	reps=5	median_ms=12.644	spread_abs_ms=0.090	spread_rel=0.7136%	mean_ms=12.645	tok_per_s=79.09
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=0.2089%	spread_rel_arm=0.6658%	verdict_ms=0.023	pooled_spread_ms=0.055
# speedup_defer_over_host	0.9944	(decision medians)
# identity	PASS
