# qwen4exp_real_gate	label=m11-ladder-raw	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=3 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	8.56	116.84	0.902	3.51	3.60	25.41	1	1
0	defer	256	8.52	117.37	0.902	3.51	3.58	25.29	1	1
0	defer-gsync	256	8.55	116.91	0.902	3.51	3.58	25.41	1	1
1	host	256	8.55	116.90	0.902	3.51	3.59	25.40	1	1
1	defer	256	8.53	117.17	0.902	3.51	3.57	25.34	1	1
1	defer-gsync	256	8.56	116.76	0.902	3.51	3.57	25.46	1	1
2	host	256	8.58	116.59	0.902	3.51	3.59	25.47	1	1
2	defer	256	8.57	116.66	0.902	3.51	3.59	25.46	1	1
2	defer-gsync	256	8.58	116.58	0.902	3.51	3.58	25.49	1	1
3	host	256	8.56	116.82	0.902	3.51	3.60	25.40	1	1
3	defer	256	8.55	117.03	0.902	3.51	3.58	25.37	1	1
3	defer-gsync	256	8.53	117.18	0.902	3.51	3.58	25.34	1	1
4	host	256	8.54	117.09	0.902	3.51	3.60	25.35	1	1
4	defer	256	8.58	116.61	0.902	3.51	3.58	25.48	1	1
4	defer-gsync	256	8.58	116.60	0.902	3.51	3.58	25.49	1	1
# arm host	reps=5	median_ms=8.559	spread_abs_ms=0.036	spread_rel=0.4219%	mean_ms=8.558	tok_per_s=116.84
# arm defer	reps=5	median_ms=8.545	spread_abs_ms=0.056	spread_rel=0.6528%	mean_ms=8.549	tok_per_s=117.03
# arm defer-gsync	reps=5	median_ms=8.565	spread_abs_ms=0.044	spread_rel=0.5128%	mean_ms=8.561	tok_per_s=116.76
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=0.2587%	spread_rel_arm=0.6103%	verdict_ms=0.024	pooled_spread_ms=0.037
# escalation	pair=host-vs-defer-gsync	rule=b	reps 3->5	spread_rel_host=0.2587%	spread_rel_arm=0.2834%	verdict_ms=0.006	pooled_spread_ms=0.023
# speedup_defer_over_host	1.0016	(decision medians)
# identity	PASS
