# qwen4exp_real_gate	label=m11-raw	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=5 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	8.72	114.69	0.861	4.41	5.30	31.98	1	1
0	defer	256	8.65	115.55	0.861	4.41	5.31	31.74	1	1
0	defer-gsync	256	8.64	115.69	0.861	4.41	5.27	31.74	1	1
1	host	256	8.64	115.80	0.861	4.41	5.30	31.66	1	1
1	defer	256	8.60	116.27	0.861	4.41	5.31	31.51	1	1
1	defer-gsync	256	8.48	117.95	0.861	4.41	5.26	31.01	1	1
2	host	256	8.45	118.29	0.861	4.41	5.30	30.87	1	1
2	defer	256	8.47	118.00	0.861	4.41	5.31	30.95	1	1
2	defer-gsync	256	8.45	118.29	0.861	4.41	5.27	30.90	1	1
3	host	256	8.43	118.64	0.861	4.41	5.29	30.76	1	1
3	defer	256	8.39	119.24	0.861	4.41	5.31	30.56	1	1
3	defer-gsync	256	8.36	119.55	0.861	4.41	5.27	30.51	1	1
4	host	256	8.42	118.80	0.861	4.41	5.30	30.71	1	1
4	defer	256	8.34	119.87	0.861	4.41	5.31	30.36	1	1
4	defer-gsync	256	8.30	120.42	0.861	4.41	5.27	30.24	1	1
# arm host	reps=5	median_ms=8.454	spread_abs_ms=0.301	spread_rel=3.5662%	mean_ms=8.531	tok_per_s=118.29
# arm defer	reps=5	median_ms=8.475	spread_abs_ms=0.312	spread_rel=3.6833%	mean_ms=8.492	tok_per_s=118.00
# arm defer-gsync	reps=5	median_ms=8.454	spread_abs_ms=0.340	spread_rel=4.0191%	mean_ms=8.449	tok_per_s=118.29
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=3.0759%	spread_rel_arm=2.0868%	verdict_ms=0.035	pooled_spread_ms=0.223
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=3.0759%	spread_rel_arm=2.2415%	verdict_ms=0.157	pooled_spread_ms=0.228
# speedup_defer_over_host	0.9975	(decision medians)
# identity	PASS
