# qwen4exp_real_gate	label=m11-ladder-raw	binary_sha256=acd01bd59269907617545d0731671bf9055805f8430fca700f02b0c4a34aa52c	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# defer-ab k=1 draft_head_rows=248320 pmin=0.3 adapt=Some(1): host vs deferred round readback, interleaved, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	chain_ms_per_round	verify_ms_per_round	guard_stops	zero_draft
0	host	256	10.77	92.89	0.977	1.97	0.97	19.50	1	1
0	defer	256	10.82	92.44	0.977	1.97	0.97	19.62	1	1
0	defer-gsync	256	10.75	93.01	0.977	1.97	0.97	19.49	1	1
1	host	256	10.76	92.90	0.977	1.97	0.97	19.52	1	1
1	defer	256	10.73	93.24	0.977	1.97	0.97	19.44	1	1
1	defer-gsync	256	10.64	93.95	0.977	1.97	0.97	19.28	1	1
2	host	256	10.62	94.20	0.977	1.97	0.97	19.22	1	1
2	defer	256	10.60	94.30	0.977	1.97	0.97	19.20	1	1
2	defer-gsync	256	10.58	94.47	0.977	1.97	0.97	19.16	1	1
3	host	256	10.58	94.55	0.977	1.97	0.97	19.15	1	1
3	defer	256	10.62	94.16	0.977	1.97	0.97	19.23	1	1
3	defer-gsync	256	10.66	93.85	0.977	1.97	0.97	19.30	1	1
4	host	256	10.49	95.32	0.977	1.97	0.97	18.98	1	1
4	defer	256	10.49	95.32	0.977	1.97	0.96	18.98	1	1
4	defer-gsync	256	10.51	95.13	0.977	1.97	0.97	19.02	1	1
# arm host	reps=5	median_ms=10.616	spread_abs_ms=0.274	spread_rel=2.5838%	mean_ms=10.643	tok_per_s=94.20
# arm defer	reps=5	median_ms=10.621	spread_abs_ms=0.326	spread_rel=3.0692%	mean_ms=10.652	tok_per_s=94.16
# arm defer-gsync	reps=5	median_ms=10.644	spread_abs_ms=0.240	spread_rel=2.2548%	mean_ms=10.629	tok_per_s=93.95
# escalation	pair=host-vs-defer	rule=a+b	reps 3->5	spread_rel_host=1.3899%	spread_rel_arm=1.9817%	verdict_ms=0.040	pooled_spread_ms=0.181
# escalation	pair=host-vs-defer-gsync	rule=a+b	reps 3->5	spread_rel_host=1.3899%	spread_rel_arm=1.5658%	verdict_ms=0.121	pooled_spread_ms=0.158
# speedup_defer_over_host	0.9995	(decision medians)
# identity	PASS
