# qwen4exp_real_gate	label=m11-rewindbit	binary_sha256=bf252461ca961fddc9514115d96795c54a1c7835a1a3e7dd80eec4545fa8ccdc	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# rewind-bit-gate: plain t==1 rows vs chunk(t=6)+rewind(keep)+refeed rows, n=64
keep	row	abs_pos	chunk	bit_identical
1	0	10	0	true
1	1	11	1	true
1	2	12	2	true
1	3	13	3	true
1	4	14	4	true
1	5	15	5	true
1	6	16	6	true
1	7	17	7	true
1	8	18	8	true
1	9	19	9	true
1	10	20	10	true
1	11	21	11	true
1	12	22	12	true
1	13	23	13	true
1	14	24	14	true
1	15	25	15	true
1	16	26	16	true
1	17	27	17	true
1	18	28	18	true
1	19	29	19	true
1	20	30	20	true
1	21	31	21	true
1	22	32	22	true
1	23	33	23	true
1	24	34	24	true
1	25	35	25	true
1	26	36	26	true
1	27	37	27	true
1	28	38	28	true
1	29	39	29	true
1	30	40	30	true
1	31	41	31	true
1	32	42	32	true
1	33	43	33	true
1	34	44	34	true
1	35	45	35	true
1	36	46	36	true
1	37	47	37	true
1	38	48	38	true
1	39	49	39	true
1	40	50	40	true
1	41	51	41	true
1	42	52	42	true
1	43	53	43	true
1	44	54	44	true
1	45	55	45	true
1	46	56	46	true
1	47	57	47	true
1	48	58	48	true
1	49	59	49	true
1	50	60	50	true
1	51	61	51	true
1	52	62	52	true
1	53	63	53	true
1	54	64	54	true
1	55	65	55	true
1	56	66	56	true
1	57	67	57	true
1	58	68	58	true
1	59	69	59	true
1	60	70	60	true
1	61	71	61	true
1	62	72	62	true
1	63	73	63	true
# keep=1	rows=64	mismatched=0	first_bad_row=-1
2	0	10	0	true
2	1	11	0	true
2	2	12	1	true
2	3	13	1	true
2	4	14	2	true
2	5	15	2	true
2	6	16	3	true
2	7	17	3	true
2	8	18	4	true
2	9	19	4	true
2	10	20	5	true
2	11	21	5	true
2	12	22	6	true
2	13	23	6	true
2	14	24	7	true
2	15	25	7	true
2	16	26	8	true
2	17	27	8	true
2	18	28	9	true
2	19	29	9	true
2	20	30	10	true
2	21	31	10	true
2	22	32	11	true
2	23	33	11	true
2	24	34	12	true
2	25	35	12	true
2	26	36	13	true
2	27	37	13	true
2	28	38	14	true
2	29	39	14	true
2	30	40	15	true
2	31	41	15	true
2	32	42	16	true
2	33	43	16	true
2	34	44	17	true
2	35	45	17	true
2	36	46	18	true
2	37	47	18	true
2	38	48	19	true
2	39	49	19	true
2	40	50	20	true
2	41	51	20	true
2	42	52	21	true
2	43	53	21	true
2	44	54	22	true
2	45	55	22	true
2	46	56	23	true
2	47	57	23	true
2	48	58	24	true
2	49	59	24	true
2	50	60	25	true
2	51	61	25	true
2	52	62	26	true
2	53	63	26	true
2	54	64	27	true
2	55	65	27	true
2	56	66	28	true
2	57	67	28	true
2	58	68	29	true
2	59	69	29	true
2	60	70	30	true
2	61	71	30	true
2	62	72	31	true
2	63	73	31	true
# keep=2	rows=64	mismatched=0	first_bad_row=-1
3	0	10	0	true
3	1	11	0	true
3	2	12	0	true
3	3	13	1	true
3	4	14	1	true
3	5	15	1	true
3	6	16	2	true
3	7	17	2	true
3	8	18	2	true
3	9	19	3	true
3	10	20	3	true
3	11	21	3	true
3	12	22	4	true
3	13	23	4	true
