epoch_ms,temp_c,power_w,sm_mhz,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,cuda_pool_cached_bytes,active_sessions,prefix_cache_bytes,kv_vmm_mapped_bytes,kv_vmm_reserved_bytes,kv_vmm_owed_bytes,kv_vmm_graveyard_bytes,kv_vmm_grows_total,kv_vmm_mapper_grows_total,kv_vmm_grow_waits_total
1790371855284,69,93.59,1207,11150,13458014208,11326202632,11374952448,48749816,8,897892352,0,0,0,0,0,0,0
1790371855534,69,94.33,1162,11150,13458014208,11326202632,11374952448,48749816,8,897892352,0,0,0,0,0,0,0
1790371855784,69,93.53,1185,11150,13458014208,11326202632,11374952448,48749816,8,897892352,0,0,0,0,0,0,0
1790371856034,69,94.22,1027,11150,13458014208,11326202632,11374952448,48749816,8,897892352,0,0,0,0,0,0,0
1790371856284,70,93.80,1162,11150,13458014208,11326202632,11374952448,48749816,8,897892352,0,0,0,0,0,0,0
1790371856534,69,94.17,1177,11182,13458014208,11326202632,11374952448,48749816,8,897892352,0,0,0,0,0,0,0
1790371856784,69,93.23,1155,11182,13458014208,11326202632,11374952448,48749816,8,897892352,0,0,0,0,0,0,0
1790371857034,69,93.95,1050,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371857284,69,94.06,1140,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371857534,70,93.96,1177,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371857784,69,93.85,1110,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371858034,69,93.97,1087,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371858284,69,93.86,1140,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371858534,69,93.74,1177,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371858784,69,93.54,1095,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371859034,69,93.82,1095,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371859284,70,94.00,1140,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371859534,69,93.73,1177,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371859784,69,93.90,1080,11182,13424459776,11334788872,11408506880,73718008,8,897892352,0,0,0,0,0,0,0
1790371860034,70,93.87,1117,11182,13424459776,11148198420,11408506880,260308460,7,897892352,0,0,0,0,0,0,0
1790371860284,71,94.42,1252,11374,13424459776,11148198420,11408506880,260308460,7,897892352,0,0,0,0,0,0,0
1790371860534,71,93.86,1402,11470,13223133184,11089352660,11609833472,520480812,7,897892352,0,0,0,0,0,0,0
