check	expected	observed	ok
write-under-live-ticket	Err(Busy)	Err(Busy)	true
write-sole-owner	Ok(())	Ok(())	true
restore-integrity	Corrupt	Corrupt	true
device-registry-unchanged	0	0	true
budget-zero	true	true	true
