timestamp, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/20 08:37:36.094, 50, 8.60 W, 312 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:37:41.101, 51, 27.12 W, 608 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:37:46.102, 52, 27.10 W, 640 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:37:51.104, 52, 27.19 W, 640 MiB, 0 %, 1597 MHz, 14001 MHz
2026/07/20 08:37:56.105, 53, 27.41 W, 1408 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:01.106, 53, 27.48 W, 1856 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:06.106, 54, 27.56 W, 2304 MiB, 1 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:11.107, 54, 27.65 W, 2752 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:16.107, 55, 27.67 W, 3200 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:21.108, 55, 27.72 W, 3648 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:26.108, 55, 27.75 W, 4064 MiB, 1 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:31.109, 55, 27.82 W, 4512 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:36.117, 56, 27.89 W, 4960 MiB, 2 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:41.118, 56, 27.93 W, 5408 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:46.118, 56, 27.95 W, 5856 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:51.119, 56, 27.96 W, 6304 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:38:56.119, 56, 28.05 W, 6752 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:01.120, 57, 28.04 W, 7200 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:06.120, 57, 28.07 W, 7616 MiB, 1 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:11.121, 57, 28.10 W, 8064 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:16.122, 57, 28.04 W, 8512 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:21.122, 57, 28.03 W, 8960 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:26.130, 57, 28.02 W, 9280 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:31.131, 57, 27.94 W, 9280 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:36.132, 57, 27.92 W, 9280 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:41.132, 57, 27.88 W, 9280 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:39:46.132, 56, 9.61 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:39:51.133, 56, 9.35 W, 9280 MiB, 0 %, 180 MHz, 405 MHz
