timestamp, temperature.gpu, power.draw [W], memory.used [MiB], utilization.gpu [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/20 08:54:21.998, 51, 8.80 W, 312 MiB, 0 %, 180 MHz, 405 MHz
2026/07/20 08:54:27.005, 52, 27.24 W, 608 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:54:32.006, 53, 27.31 W, 640 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:54:37.007, 53, 27.54 W, 1120 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:54:42.007, 54, 27.68 W, 1632 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:54:47.008, 54, 27.71 W, 2112 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:54:52.008, 55, 27.75 W, 2560 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:54:57.009, 55, 27.82 W, 2944 MiB, 1 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:02.010, 56, 27.92 W, 3296 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:07.011, 56, 27.96 W, 3744 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:12.011, 56, 28.00 W, 4224 MiB, 1 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:17.012, 56, 28.04 W, 4672 MiB, 1 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:22.013, 57, 28.04 W, 5120 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:27.013, 57, 28.12 W, 5568 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:32.014, 57, 28.17 W, 6016 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:37.015, 57, 28.10 W, 6432 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:42.015, 57, 28.17 W, 6880 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:47.016, 57, 28.11 W, 7328 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:52.018, 57, 28.17 W, 7776 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:55:57.018, 57, 28.07 W, 8224 MiB, 1 %, 1590 MHz, 14001 MHz
2026/07/20 08:56:02.018, 57, 28.09 W, 8672 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:56:07.019, 57, 28.09 W, 9120 MiB, 0 %, 1590 MHz, 14001 MHz
2026/07/20 08:56:12.019, 57, 27.95 W, 9280 MiB, 0 %, 1590 MHz, 14001 MHz
