# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      1 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      9     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      9     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      2 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      2 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      1 
    0      8     52      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0     28     52      -      0      0      0      0      0      0  14001    180      0      0    608    609      0      0      0 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0    608    609      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1597      0      0    608    609      0      0      1 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0    608    609      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1597      0      0    608    609      0      0      2 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      2 
    0     27     53      -      0      0      0      0      0      0  14001   1597      0      0    640    641      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1597      0      0    640    641      0      0      2 
    0     27     53      -      0      0      0      0      0      0  14001   1597      0      0    640    641      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      1 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1597      0      0    640    641      0      0      0 
    0     27     54      -     48      3      0      0      0      0  14001   1590      0      0   1120   1121      0      0      0 
    0     27     54      -      1      0      0      0      0      0  14001   1597      0      0   1216   1217      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   1248   1249      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   1376   1377      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   1440   1441      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   1504   1505      0     10      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   1568   1569      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   1664   1665      0      0      1 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   1728   1729      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   1792   1793      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   1888   1889      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   2016   2017      0      0      2 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   2112   2113      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   2176   2177      0    235      2 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   2240   2241      0   1885      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   2368   2369      0      0      2 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     27     55      -      1      0      0      0      0      0  14001   1590      0      0   2464   2465      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   2560   2561      0      0      2 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   2656   2657      0      0     31 
    0     27     56      -      1      0      0      0      0      0  14001   1590      0      0   2752   2753      0    352      2 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   2816   2817      0    353      3 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   2880   2881      0      0     25 
    0     27     56      -      1      0      0      0      0      0  14001   1590      0      0   2976   2977      0      0      0 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3072   3073      0      0      2 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3136   3137      0   1883      0 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3232   3233      0      0     12 
    0     28     56      -      1      0      0      0      0      0  14001   1590      0      0   3328   3329      0      0      0 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3424   3425      0      0      2 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3552   3553      0      0      0 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3616   3617      0      0      0 
    0     28     56      -      1      0      0      0      0      0  14001   1590      0      0   3744   3745      0      0      0 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3808   3809      0      0     31 
    0     27     56      -      0      0      0      0      0      0  14001   1590      0      0   3904   3905      0    353      0 
    0     28     56      -      0      0      0      0      0      0  14001   1590      0      0   4000   4001      0      0      0 
    0     28     56      -      1      0      0      0      0      0  14001   1590      0      0   4064   4065      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4160   4161      0      0      2 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4256   4257      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4352   4353      0      0     21 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4416   4417      0   1883      1 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4512   4513      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4608   4609      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4704   4705      0    355      0 
    0     28     57      -      0      0      0      0      0      0  14001   1597      0      0   4800   4801      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4896   4897      0      0     31 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   4992   4993      0    352      2 
    0     28     57      -      1      0      0      0      0      0  14001   1590      0      0   5088   5089      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   5152   5153      0      9      2 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   5248   5249      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   5344   5345      0      0      2 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   5440   5441      0      0      0 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   5568   5569      0      0      2 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   5664   5665      0      0     21 
    0     28     57      -      0      0      0      0      0      0  14001   1590      0      0   5728   5729      0   1773      2 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   5792   5793      0      0      0 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   5920   5921      0      0      2 
    0     28     58      -      1      0      0      0      0      0  14001   1590      0      0   6016   6017      0      0      0 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   6112   6113      0      1      2 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   6176   6177      0    353      0 
    0     28     58      -      1      0      0      0      0      0  14001   1590      0      0   6272   6273      0      0      2 
    0     28     58      -      1      0      0      0      0      0  14001   1590      0      0   6400   6401      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   6464   6465      0      0     32 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   6592   6593      0      0      0 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   6624   6625      0      0      0 
    0     28     58      -      1      0      0      0      0      0  14001   1590      0      0   6752   6753      0      6      0 
    0     28     58      -      0      0      0      0      0      0  14001   1590      0      0   6848   6849      0      0      0 
