date=2026-07-21T12:46:16+03:00
kernel=7.0.0-27-generic
library_sha=c4994282451e7ba639e36e848f917624da9fb0722f93da26793eaaf5c3f7704c
process_affinity=0-7
gomp_affinity=0-7
 12:46:16 up 16:07,  1 user,  load average: 6.41, 7.52, 7.11
Linux 7.0.0-27-generic (avifenesh) 	07/21/26 	_x86_64_	(24 CPU)

12:46:16     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:17       0    2.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
12:46:17       1    7.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   92.00
12:46:17       2    1.02    0.00    3.06    0.00    0.00    0.00    0.00    0.00    0.00   95.92
12:46:17       3    8.16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.84
12:46:17       4    8.08    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   90.91
12:46:17       5    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
12:46:17       6    3.03    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   94.95
12:46:17       7    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00

12:46:17     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:18       0    1.00    0.00    2.00    0.00    0.00    1.00    0.00    0.00    0.00   96.00
12:46:18       1    5.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
12:46:18       2    1.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.98
12:46:18       3    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:46:18       4    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
12:46:18       5    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:46:18       6    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
12:46:18       7    2.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.96

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:       0    1.50    0.00    1.50    0.00    0.00    1.00    0.00    0.00    0.00   96.00
Average:       1    6.00    0.00    0.50    0.50    0.00    0.00    0.00    0.00    0.00   93.00
Average:       2    1.02    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   97.45
Average:       3    4.55    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   94.95
Average:       4    8.54    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   90.45
Average:       5    2.49    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.52
Average:       6    6.06    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   92.93
Average:       7    2.02    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   97.47
mode=0
env: '/tmp/bench-cpu-moe-token': No such file or directory
env: use -[v]S to pass options in shebang lines
