# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      1 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      1 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      2 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      2 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      2 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      2 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      0 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      2 
    0      8     49      -      0      0      0      0      0      0    405    180      0      0    312    313      0      0      1 
    0     27     49      -      0      0      0      0      0      0  14001   1597      0      0    608    609      0      0      0 
    0     27     50      -      0      0      0      0      0      0  14001   1597      0      0    608    609      0      0      0 
    0     26     50      -      0      0      0      0      0      0  14001   1590      0      0    608    609      0      0      0 
    0     26     50      -      0      0      0      0      0      0  14001   1597      0      0    608    609      0      0      0 
    0     26     50      -      0      0      0      0      0      0  14001   1590      0      0    608    609      0      0      0 
    0     26     50      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      0 
    0     27     50      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      0 
    0     26     50      -      0      0      0      0      0      0  14001   1597      0      0    640    641      0      0      2 
    0     26     50      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0     11 
    0     26     50      -      0      0      0      0      0      0  14001   1597      0      0    640    641      0      0      2 
    0     26     51      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      0 
    0     26     51      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      4 
    0     26     51      -      0      0      0      0      0      0  14001   1597      0      0    640    641      0      0      0 
    0     26     51      -      0      0      0      0      0      0  14001   1590      0      0    640    641      0      0      0 
    0     27     51      -      0      0      0      0      0      0  14001   1597      0      0   1184   1185      0      0      0 
    0     27     51      -      0      0      0      0      0      0  14001   1590      0      0   1248   1249      0      0      0 
    0     27     51      -      1      0      0      0      0      0  14001   1590      0      0   1408   1409      0      0     21 
    0     27     51      -      0      0      0      0      0      0  14001   1590      0      0   1472   1473      0      0      0 
    0     27     51      -      1      0      0      0      0      0  14001   1590      0      0   1568   1569      0      0      2 
    0     27     51      -      0      0      0      0      0      0  14001   1590      0      0   1664   1665      0      0      0 
    0     27     52      -      0      0      0      0      0      0  14001   1597      0      0   1760   1761      0      0      2 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   1856   1857      0    352      1 
    0     27     52      -      2      0      0      0      0      0  14001   1590      0      0   1952   1953      0    352      0 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   2048   2049      0      0      0 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   2112   2113      0   2050      0 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   2208   2209      0      0    164 
    0     27     52      -      2      0      0      0      0      0  14001   1590      0      0   2304   2305      0      0      0 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   2400   2401      0      0      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   2496   2497      0      0      0 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   2592   2593      0      0      0 
    0     27     52      -      0      0      0      0      0      0  14001   1590      0      0   2688   2689      0     12      1 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   2784   2785      0    235      0 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   2880   2881      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   2976   2977      0      0     21 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3040   3041      0      0    164 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3136   3137      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3232   3233      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3328   3329      0      0      0 
    0     27     53      -      2      0      0      0      0      0  14001   1590      0      0   3424   3425      0      0      0 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3552   3553      0      0      2 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3616   3617      0    355      0 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3744   3745      0      0      2 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3808   3809      0    353      1 
    0     27     53      -      0      0      0      0      0      0  14001   1590      0      0   3936   3937      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4000   4001      0    310      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4096   4097      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4224   4225      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4256   4257      0      0      0 
    0     27     54      -      1      0      0      0      0      0  14001   1590      0      0   4384   4385      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4480   4481      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4576   4577      0      0      0 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4672   4673      0     10     21 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4768   4769      0    229      2 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4864   4865      0      0     21 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   4928   4929      0      0      2 
    0     27     54      -      0      0      0      0      0      0  14001   1590      0      0   5024   5025      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   5120   5121      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   5216   5217      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   5312   5313      0      0      0 
    0     27     55      -      1      0      0      0      0      0  14001   1590      0      0   5408   5409      0      0      0 
    0     27     55      -      0      0      0      0      0      0  14001   1590      0      0   5504   5505      0      0      0 
