# qwen4exp_real_gate	label=thinkoff-ladder	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ladder: one run per K (not interleaved — ordering signal only; the A/B is the claim)
k	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	draft_ms_share	verify_ms_share	hist	chain_prefix
3	256	9.27	107.90	0.785	3.37	0.15	0.84	8,7,11,50	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010
4	256	9.39	106.54	0.735	3.94	0.17	0.82	10,4,4,9,38	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010
5	256	9.80	102.04	0.671	4.34	0.18	0.81	9,4,6,6,6,28	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010
6	256	10.43	95.86	0.615	4.65	0.19	0.80	8,7,5,4,4,4,23	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010
7	256	10.32	96.90	0.609	5.22	0.20	0.80	7,3,5,5,3,3,7,16	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010
8	256	11.00	90.91	0.561	5.45	0.20	0.79	8,3,4,3,4,2,8,3,12	2,1160,47755,21964,58303,5829,5534,310,20776,10052,11158,271,550,561,41096,271,12189,488,3105,914,3300,264,3050,709,11,353,3172,19264,440,264,17697,3010
