# qwen4_exp own-gen ranks	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	counted_tokens=93152	distinct=5538
# rank order: count desc, id asc on ties. Format: id<TAB>count
13	4495
11	3163
25	1716
30	1556
14235	1405
220	1365
198	1335
15	1180
310	979
6970	880
321	873
271	856
328	856
16	783
279	774
264	698
17	695
1144	541
303	533
12	522
364	497
413	486
16018	472
369	468
18	445
628	433
19	432
1	427
1156	424
381	408
440	405
20	404
424	386
471	380
524	369
4222	364
14	341
466	337
318	336
1165	335
26	327
1596	307
4087	293
2466	291
8	278
1921	276
694	264
23	257
21	256
314	256
24	254
781	248
488	246
421	239
579	237
914	232
10380	231
874	230
1534	230
353	229
494	225
383	223
283	216
1092	206
1510	206
593	202
1368	201
2972	200
1318	198
1542	196
3300	196
3158	189
1822	183
2193	183
6163	181
958	180
944	179
5707	179
10966	179
22916	175
262	171
506	168
1132	162
22	159
1910	158
728	157
1558	154
1716	151
6088	150
9066	150
2570	148
430	147
1970	138
332	137
567	137
599	135
7936	135
1622	132
2302	124
411	122
2830	121
1149	119
799	118
10562	115
539	114
63	113
478	112
12513	109
15865	109
561	108
1220	107
553	104
3817	103
2842	101
61446	101
15400	98
660	97
1754	97
256	96
1788	96
513	95
2528	94
22846	94
1103	92
3	91
1412	91
1752	91
4706	91
7167	91
1459	90
2640	90
1906	89
248069	89
393	87
883	87
6042	87
948	86
1238	85
4581	85
2977	84
28	83
1892	83
4523	83
6297	82
286	80
791	80
1179	80
1481	80
735	79
1137	79
10631	78
6558	77
449	76
491	76
5224	76
635	75
1690	75
3019	75
7054	75
1698	74
3108	73
4021	73
476	72
829	72
2552	72
3669	72
1049	71
2131	71
678	70
1228	70
8439	70
37972	70
9	69
313	69
1189	69
4393	69
709	68
1118	68
1438	68
10885	68
29	67
640	67
7014	67
15243	67
1683	66
2702	66
82	65
682	65
748	65
5099	65
19052	65
999	64
10033	64
1083	63
8313	63
28647	63
71093	62
281	61
585	61
1000	61
4416	61
5790	61
8106	61
8602	61
1870	59
3992	59
6587	59
615	58
768	58
2243	58
2873	58
1066	57
1362	57
2468	57
3555	57
