# qwen4exp_real_gate	label=trim0-nvfp4	binary_sha256=99b04881d7350a8571b9b27ec5e15eb97585034e81fbcd06f6d81cbd2678dc37	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# trim-ab k=5 trim_n=5538 vocab=248320: full-vocab draft head vs FR-Spec trimmed head, interleaved, fresh states per arm per rep
rep	arm	draft_head_rows	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	draft_ms_share	hist
0	full	248320	256	8.27	120.88	0.840	5.12	0.18	1,1,7,5,0,36
0	trim	5538	256	9.90	100.99	0.561	3.82	0.09	13,8,13,3,5,25
1	full	248320	256	8.25	121.19	0.840	5.12	0.18	1,1,7,5,0,36
1	trim	5538	256	9.91	100.94	0.561	3.82	0.09	13,8,13,3,5,25
2	full	248320	256	8.23	121.44	0.840	5.12	0.18	1,1,7,5,0,36
2	trim	5538	256	9.94	100.56	0.561	3.82	0.09	13,8,13,3,5,25
3	full	248320	256	8.26	121.02	0.840	5.12	0.18	1,1,7,5,0,36
3	trim	5538	256	9.90	101.03	0.561	3.82	0.09	13,8,13,3,5,25
4	full	248320	256	8.29	120.60	0.840	5.12	0.18	1,1,7,5,0,36
4	trim	5538	256	9.89	101.10	0.561	3.82	0.09	13,8,13,3,5,25
# arm full	mean_of_means_ms=8.26	min=8.23	max=8.29	tok_per_s=121.03	mean_accept_rate=0.840	mean_accept_len=5.12
# arm trim	mean_of_means_ms=9.91	min=9.89	max=9.94	tok_per_s=100.93	mean_accept_rate=0.561	mean_accept_len=3.82
# speedup_trim_over_full	0.8339
# rep0_full_vs_trim_first_divergence	-1
# rep0_full	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009,198,285,638,4381,283,1727,1358,727,10562,22517,39914,36053,7080,16,25,19876,11,1103,17,25,19876,8,1411,19876,25,198,262,4071,198,262,38754,1330,10300,10278,11140,1083,799,10300,10278,1103,13,198,1031,262,17167,25,198,285,1103,16,25,10877,314,279,1118,10300,10278,1103,13,198,285,1103,17,25,10877,314,279,2018,10300,10278,1103,13,198,1031,262,5019,25,198,285,10877,314,279,25170,10300,10278,1103,13,198,262,4071,198,262,653,4091,264,16782,2357,310,8418,430,279,1151,314,279,25170,1103,198,262,16782,283,19876,7,15,8,198,262,1428,283,16782,6987,262,653,83739,2107,11140,321,9150,7552,198,262,1345,1103,16,321,1103,17,25,198,285,413,1103,16,10518,2564,1103,17,10518,25,198,309,1428,4381,283,1103,16,198,309,1103,16,283,1103,16,4381,198,285,745,25,198,309,1428,4381,283,1103,17,198,309,1103,17,283,1103,17,4381,198,285,1428,283,1428,4381,6987,262,653,46772,279,9376,5255,494,2892,1103,16,466,1103,17,198,262,413,1103,16,25,198,285,1428,4381,283,1103,16,198,262,4265,1103,17,25,198,285,1428
# rep0_trim	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009,198,285,638,4381,283,1727,1358,727,10562,22517,39914,36053,7080,16,25,19876,11,1103,17,25,19876,8,1411,19876,25,198,262,4071,198,262,38754,1330,10300,10278,11140,1083,799,10300,10278,1103,13,198,1031,262,17167,25,198,285,1103,16,25,10877,314,279,1118,10300,10278,1103,13,198,285,1103,17,25,10877,314,279,2018,10300,10278,1103,13,198,1031,262,5019,25,198,285,10877,314,279,25170,10300,10278,1103,13,198,262,4071,198,262,653,4091,264,16782,2357,310,8418,430,279,1151,314,279,25170,1103,198,262,16782,283,19876,7,15,8,198,262,1428,283,16782,6987,262,653,83739,2107,11140,321,9150,7552,198,262,1345,1103,16,321,1103,17,25,198,285,413,1103,16,10518,2564,1103,17,10518,25,198,309,1428,4381,283,1103,16,198,309,1103,16,283,1103,16,4381,198,285,745,25,198,309,1428,4381,283,1103,17,198,309,1103,17,283,1103,17,4381,198,285,1428,283,1428,4381,6987,262,653,46772,279,9376,5255,494,2892,1103,16,466,1103,17,198,262,413,1103,16,25,198,285,1428,4381,283,1103,16,198,262,4265,1103,17,25,198,285,1428
