prompt	arm	status	rounds	drafted	accepted	acc_rate	acc_per_cycle	tok_per_cycle	completion_tokens	finish
p00-code	greedy	200	50	150	78	0.5200	1.560	2.560	128	length
p00-code	sampled-vendor-default	200	56	168	73	0.4345	1.304	2.304	128	length
p01-code	greedy	200	59	177	68	0.3842	1.153	2.153	128	length
p01-code	sampled-vendor-default	200	57	171	70	0.4094	1.228	2.228	128	length
p02-code	greedy	200	50	150	77	0.5133	1.540	2.540	128	length
p02-code	sampled-vendor-default	200	51	153	76	0.4967	1.490	2.490	128	length
p03-code	greedy	200	53	159	74	0.4654	1.396	2.396	128	length
p03-code	sampled-vendor-default	200	53	159	76	0.4780	1.434	2.434	128	length
p04-code	greedy	200	56	168	72	0.4286	1.286	2.286	128	length
p04-code	sampled-vendor-default	200	84	252	44	0.1746	0.524	1.524	128	length
p05-code	greedy	200	62	186	68	0.3656	1.097	2.097	128	length
p05-code	sampled-vendor-default	200	49	147	78	0.5306	1.592	2.592	128	length
p06-prose	greedy	200	54	162	75	0.4630	1.389	2.389	128	length
p06-prose	sampled-vendor-default	200	53	159	75	0.4717	1.415	2.415	128	length
p07-prose	greedy	200	50	150	77	0.5133	1.540	2.540	128	length
p07-prose	sampled-vendor-default	200	56	168	73	0.4345	1.304	2.304	128	length
p08-prose	greedy	200	51	153	76	0.4967	1.490	2.490	128	length
p08-prose	sampled-vendor-default	200	51	153	77	0.5033	1.510	2.510	128	length
p09-prose	greedy	200	57	171	71	0.4152	1.246	2.246	128	length
p09-prose	sampled-vendor-default	200	55	165	72	0.4364	1.309	2.309	128	length
p10-agent-a	greedy	200	51	153	79	0.5163	1.549	2.549	128	length
p10-agent-a	sampled-vendor-default	200	52	156	76	0.4872	1.462	2.462	128	length
p11-agent-b	greedy	200	51	153	78	0.5098	1.529	2.529	128	length
p11-agent-b	sampled-vendor-default	200	57	171	70	0.4094	1.228	2.228	128	length
p12-agent-c	greedy	200	48	144	80	0.5556	1.667	2.667	128	length
p12-agent-c	sampled-vendor-default	200	57	171	72	0.4211	1.263	2.263	128	length
