timestamp, index, memory.used [MiB], temperature.gpu, power.draw [W]
2026/08/02 23:20:00.417, 4, 0 MiB, 40, 133.55 W
2026/08/02 23:20:00.421, 5, 0 MiB, 38, 130.75 W
2026/08/02 23:20:00.424, 6, 0 MiB, 39, 124.63 W
2026/08/02 23:20:00.427, 7, 0 MiB, 38, 131.26 W
2026/08/02 23:20:01.430, 4, 0 MiB, 40, 133.59 W
2026/08/02 23:20:01.430, 5, 0 MiB, 38, 130.74 W
2026/08/02 23:20:01.431, 6, 0 MiB, 39, 124.65 W
2026/08/02 23:20:01.431, 7, 0 MiB, 38, 131.26 W
2026/08/02 23:20:02.431, 4, 0 MiB, 40, 133.52 W
2026/08/02 23:20:02.431, 5, 0 MiB, 38, 130.72 W
2026/08/02 23:20:02.431, 6, 0 MiB, 39, 124.66 W
2026/08/02 23:20:02.431, 7, 0 MiB, 38, 131.26 W
2026/08/02 23:20:03.431, 4, 1 MiB, 40, 133.52 W
2026/08/02 23:20:03.432, 5, 0 MiB, 38, 130.73 W
2026/08/02 23:20:03.432, 6, 0 MiB, 39, 124.64 W
2026/08/02 23:20:03.433, 7, 0 MiB, 38, 131.29 W
2026/08/02 23:20:04.434, 4, 1 MiB, 40, 133.57 W
2026/08/02 23:20:04.441, 5, 1 MiB, 38, 130.80 W
2026/08/02 23:20:04.488, 6, 1 MiB, 39, 124.68 W
2026/08/02 23:20:04.490, 7, 1 MiB, 38, 131.33 W
2026/08/02 23:20:05.491, 4, 43 MiB, 40, 133.65 W
2026/08/02 23:20:05.491, 5, 41 MiB, 38, 130.79 W
2026/08/02 23:20:05.500, 6, 41 MiB, 39, 124.72 W
2026/08/02 23:20:05.507, 7, 41 MiB, 38, 131.39 W
2026/08/02 23:20:06.515, 4, 1123 MiB, 40, 129.52 W
2026/08/02 23:20:06.515, 5, 1123 MiB, 38, 128.03 W
2026/08/02 23:20:06.515, 6, 1123 MiB, 39, 122.12 W
2026/08/02 23:20:06.515, 7, 1123 MiB, 37, 128.38 W
2026/08/02 23:20:07.515, 4, 11555 MiB, 40, 131.42 W
2026/08/02 23:20:07.515, 5, 9635 MiB, 38, 128.27 W
2026/08/02 23:20:07.515, 6, 8995 MiB, 39, 122.33 W
2026/08/02 23:20:07.515, 7, 9379 MiB, 37, 128.62 W
