timestamp, clocks.current.sm [MHz], temperature.gpu, power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/23 14:19:26.316, 180 MHz, 55, 9.85 W, 0 %, 15 MiB
2026/09/23 14:19:26.576, 262 MHz, 55, 10.54 W, 0 %, 32 MiB
2026/09/23 14:19:26.828, 262 MHz, 55, 10.54 W, 0 %, 313 MiB
2026/09/23 14:19:27.078, 1590 MHz, 56, 28.37 W, 1 %, 1113 MiB
2026/09/23 14:19:27.328, 1590 MHz, 56, 28.37 W, 1 %, 1113 MiB
2026/09/23 14:19:27.578, 1597 MHz, 56, 28.85 W, 7 %, 1497 MiB
2026/09/23 14:19:27.828, 1597 MHz, 56, 28.85 W, 7 %, 1977 MiB
2026/09/23 14:19:28.079, 1597 MHz, 56, 29.17 W, 8 %, 2489 MiB
2026/09/23 14:19:28.329, 1597 MHz, 56, 29.17 W, 8 %, 2969 MiB
2026/09/23 14:19:28.579, 1597 MHz, 56, 29.11 W, 7 %, 3417 MiB
2026/09/23 14:19:28.829, 1597 MHz, 56, 29.11 W, 7 %, 3897 MiB
2026/09/23 14:19:29.080, 1605 MHz, 56, 29.14 W, 7 %, 4345 MiB
2026/09/23 14:19:29.330, 1605 MHz, 56, 29.14 W, 7 %, 4857 MiB
2026/09/23 14:19:29.580, 1785 MHz, 57, 34.49 W, 0 %, 7033 MiB
2026/09/23 14:19:29.834, 1785 MHz, 57, 34.49 W, 0 %, 8217 MiB
2026/09/23 14:19:30.084, 2122 MHz, 69, 92.76 W, 100 %, 8217 MiB
2026/09/23 14:19:30.335, 2122 MHz, 69, 92.76 W, 100 %, 8217 MiB
2026/09/23 14:19:30.585, 2182 MHz, 69, 148.58 W, 100 %, 8217 MiB
2026/09/23 14:19:30.835, 2182 MHz, 69, 148.58 W, 100 %, 8217 MiB
2026/09/23 14:19:31.085, 2100 MHz, 66, 160.20 W, 91 %, 8217 MiB
2026/09/23 14:19:31.336, 2100 MHz, 66, 160.20 W, 91 %, 8217 MiB
