Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
41.5,483780887,192,2519692.1,10000.0,6310,7725861,3562580.9,cuMemcpyDtoHAsync_v2
39.3,458002816,157136,2914.7,2440.0,2140,282220,2868.0,cudaLaunchKernel
17.6,205618932,24736,8312.5,2950.0,2660,1922468,94669.5,cuMemcpyDtoDAsync_v2
1.0,11691106,157136,74.4,70.0,60,13440,129.6,cuKernelGetName
0.5,5272296,3008,1752.8,1710.0,1530,11480,461.8,cuMemcpyHtoDAsync_v2
0.0,510120,322,1584.2,1380.0,1060,3370,496.4,cuStreamSynchronize
0.0,179610,64,2806.4,2715.0,2400,5420,446.7,cuMemcpyPeerAsync
0.0,132990,64,2078.0,1800.0,1610,11690,1314.2,cuStreamWaitEvent
0.0,57190,64,893.6,720.0,590,9450,1097.8,cuEventRecord
0.0,57180,642,89.1,70.0,60,8470,331.6,cuCtxSetCurrent
0.0,4640,1,4640.0,4640.0,4640,4640,0.0,cuCtxSynchronize
0.0,2950,1,2950.0,2950.0,2950,2950,0.0,cuProfilerStart
0.0,330,1,330.0,330.0,330,330,0.0,cuProfilerStop
