epoch_ms,mem_used_mib,cuda_driver_free_bytes,cuda_pool_used_bytes,cuda_pool_reserved_bytes,admission_booked_bytes,active_sessions,prefix_cache_bytes
1790319200323,17204,0,0,0,0,0,0
1790319200573,17204,0,0,0,0,0,0
1790319200823,17204,0,0,0,0,0,0
1790319201073,17204,0,0,0,0,0,0
1790319201323,17460,0,0,0,0,0,0
1790319201573,18324,0,0,0,0,0,0
1790319201823,18324,82760171520,17914203332,18589155328,0,0,0
1790319202073,18324,82760171520,17914203332,18589155328,0,0,0
1790319202323,18324,82760171520,17914203332,18589155328,0,0,0
1790319202573,18324,82760171520,17914203332,18589155328,0,0,0
1790319202823,18324,82760171520,17914203332,18589155328,0,0,0
1790319203073,18324,82760171520,17914203332,18589155328,0,0,0
1790319203323,18324,82760171520,17914203332,18589155328,0,0,0
1790319203573,18324,82760171520,17914203332,18589155328,0,0,0
1790319203823,26996,82760171520,17914203332,18589155328,0,0,0
1790319204073,26996,82760171520,17914203332,18589155328,0,0,0
1790319204323,27380,82760171520,17914203332,18589155328,0,0,0
1790319204573,27380,82760171520,17914203332,18589155328,0,0,0
1790319204823,27380,82760171520,17914203332,18589155328,0,0,0
1790319205073,27380,82760171520,17914203332,18589155328,0,0,0
1790319205323,27380,82760171520,17914203332,18589155328,0,0,0
1790319205573,27380,82760171520,17914203332,18589155328,0,0,0
1790319205823,27380,82760171520,17914203332,18589155328,0,0,0
1790319206073,27380,82760171520,17914203332,18589155328,0,0,0
1790319206323,27380,82760171520,17914203332,18589155328,0,0,0
1790319206573,27380,82760171520,17914203332,18589155328,0,0,0
1790319206823,27380,82760171520,17914203332,18589155328,0,0,0
1790319207073,27380,82760171520,17914203332,18589155328,0,0,0
1790319207323,27380,82760171520,17914203332,18589155328,0,0,0
1790319207573,27380,82760171520,17914203332,18589155328,0,0,0
1790319207823,36084,73264267264,27443996232,28085059584,0,0,202348544
1790319208073,36084,73264267264,27443996232,28085059584,0,0,202348544
1790319208323,36372,73264267264,27443996232,28085059584,0,0,202348544
1790319208573,36372,73264267264,27443996232,28085059584,0,0,202348544
1790319208823,36372,73264267264,27443996232,28085059584,0,0,202348544
1790319209073,36372,73264267264,27443996232,28085059584,0,0,202348544
1790319209323,36372,73264267264,27443996232,28085059584,0,0,202348544
1790319209573,36372,73264267264,27443996232,28085059584,0,0,202348544
