timestamp, uuid, memory.used [MiB], memory.free [MiB], utilization.gpu [%], power.draw [W], temperature.gpu
2026/09/20 22:29:37.346, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 0, 97250, 0, 35.28, 32
2026/09/20 22:29:37.629, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 23, 97228, 0, 38.00, 32
2026/09/20 22:29:37.879, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 8, 44.64, 33
2026/09/20 22:29:38.129, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 0, 66.98, 33
2026/09/20 22:29:38.379, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 629, 96622, 1, 70.93, 33
2026/09/20 22:29:38.629, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 16, 100.52, 34
2026/09/20 22:29:38.880, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 99.68, 33
2026/09/20 22:29:39.130, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 99.46, 33
2026/09/20 22:29:39.380, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 99.42, 33
2026/09/20 22:29:39.630, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.88, 33
2026/09/20 22:29:39.880, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.91, 33
2026/09/20 22:29:40.130, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.92, 33
2026/09/20 22:29:40.380, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.92, 33
2026/09/20 22:29:40.630, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 90.93, 33
2026/09/20 22:29:40.880, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.00, 34
2026/09/20 22:29:41.130, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.08, 34
2026/09/20 22:29:41.381, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.09, 34
2026/09/20 22:29:41.631, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.11, 34
2026/09/20 22:29:41.881, GPU-1ee63385-225d-6adb-4f53-80a3032e9891, 725, 96526, 0, 91.11, 34
