Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
82.2,107233362,50,2144667.2,21506.5,10964,10559373,4209173.4,cuMemcpyDtoHAsync_v2
8.1,10602753,3170,3344.7,3255.0,2418,17153,973.0,cuLaunchKernel
5.1,6710970,840,7989.3,7638.0,5639,23805,1918.6,cuGraphLaunch
1.5,1974215,430,4591.2,4345.0,3742,16948,1296.9,cuMemcpyDtoDAsync_v2
0.9,1230742,360,3418.7,3380.0,2593,15145,957.4,cuLaunchKernelEx
0.6,823143,210,3919.7,3747.5,3256,7626,686.6,cudaLaunchKernel
0.6,816842,320,2552.6,2325.5,1869,15327,1125.6,cuMemcpyHtoDAsync_v2
0.2,266895,390,684.3,617.0,369,4559,357.7,cuMemAllocAsync
0.2,216967,390,556.3,509.0,431,2191,193.8,cuMemFreeAsync
0.1,189616,40,4740.4,3978.0,3607,9011,1470.7,cuMemsetD8Async
0.1,174063,50,3481.3,2914.5,1766,7220,1381.8,cuStreamSynchronize
0.1,121938,210,580.7,490.5,390,3368,313.0,cuEventRecord
0.0,33596,210,160.0,153.0,132,432,33.1,cuKernelGetName
0.0,13475,1,13475.0,13475.0,13475,13475,0.0,cuCtxSynchronize
0.0,3732,1,3732.0,3732.0,3732,3732,0.0,cuProfilerStart
0.0,416,1,416.0,416.0,416,416,0.0,cuProfilerStop
