directories with a totals line: 261; with fallbacks: 67
per-expert-quant/evidence/local-5090-next3-20260722 | lines 1/47 | fallbacks 1 | max 1
spill-f-20260919/box27/b3-cold/visits/r10-2-worker2 | lines 1/1 | fallbacks 625 | max 625
spill-f-20260919/box27/b3-smoke/visits/r01-5-worker2 | lines 1/1 | fallbacks 517 | max 517
spill-f-20260919/box27/b3-warm/visits/r01-5-worker2 | lines 1/1 | fallbacks 505 | max 505
spill-f-20260919/box27/b3-warm/visits/r02-2-worker2 | lines 1/1 | fallbacks 502 | max 502
spill-f-20260919/box27/b3-warm/visits/r03-5-worker2 | lines 1/1 | fallbacks 492 | max 492
spill-f-20260919/box27/b3-warm/visits/r04-2-worker2 | lines 1/1 | fallbacks 412 | max 412
spill-f-20260919/box27/b3-warm/visits/r05-5-worker2 | lines 1/1 | fallbacks 486 | max 486
spill-f-20260919/box27/b3-warm/visits/r06-2-worker2 | lines 1/1 | fallbacks 371 | max 371
spill-f-20260919/box27/b3-warm/visits/r07-5-worker2 | lines 1/1 | fallbacks 432 | max 432
spill-f-20260919/box27/b3-warm/visits/r08-2-worker2 | lines 1/1 | fallbacks 478 | max 478
spill-f-20260919/box27/b3-warm/visits/r09-5-worker2 | lines 1/1 | fallbacks 445 | max 445
spill-f-20260919/box27/b3-warm/visits/r10-2-worker2 | lines 1/1 | fallbacks 433 | max 433
spill-f-20260919/owed17/5090/doorless-diag/round-01 | lines 5/6 | fallbacks 1320 | max 895
spill-f-20260919/owed17/5090/f17-smoke/round-01/visits/r01-1-worker16 | lines 1/1 | fallbacks 2372 | max 2372
spill-f-20260919/owed17/5090/f17-smoke/round-01/visits/r01-2-bypass-staged | lines 1/1 | fallbacks 3646 | max 3646
spill-f-20260919/owed17/5090/f17-smoke/round-01/visits/r01-3-bypass-mapped | lines 1/1 | fallbacks 8287 | max 8287
spill-f-20260919/rtx5090/anonpeak-run1/round-01/visits/worker2 | lines 1/1 | fallbacks 425 | max 425
spill-f-20260919/rtx5090/anonpeak-run2/round-01/visits/direct16 | lines 1/1 | fallbacks 9 | max 9
spill-f-20260919/rtx5090/anonpeak-run2/round-01/visits/worker2 | lines 1/1 | fallbacks 510 | max 510
spill-f-20260919/rtx5090/capped-smoke/round-01/visits/r01-5-worker2 | lines 1/1 | fallbacks 450 | max 450
