0, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 30, 180 MHz, 32.05 W
1, NVIDIA RTX PRO 6000 Blackwell Server Edition, 0 MiB, 31, 180 MHz, 30.00 W
