plane	valid_bytes	sha256
position-u64le	8	2785a6f5442c940edd800f72e1e7c8f8aecef943c4ee4530bb443751309dd523
max-context-u64le	8	46386ff0eccd7a7871daa3122b418bbf8e0d0180eca74808a53b2c3ed970f50e
layer-0-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-0-conv-f32le	122880	cbde6edd5f1b33d342992b9b34f292f8162b868ff494103e6078e62a885f328d
layer-0-ssm-f32le	3145728	5cee7fb721766ffa91837e688573a50a17e1bcd481dfa67131eb66e0c64f835e
layer-1-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-1-conv-f32le	122880	a3be50046faee04ad1e96763c28045ebf7e2f9126307a9c2bda958200c4c9d83
layer-1-ssm-f32le	3145728	493bbac9449f2b7c403d42d4212e505e33be1d42a5432e684d8bfa68f1a2c14b
layer-2-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-2-conv-f32le	122880	fcd3506c5acfdc15bb094575ec1deea2158b6187b9d9605373d9c210fd5d1e99
layer-2-ssm-f32le	3145728	de61d5ce6d6e3c649aa99009f490c3ea9bacbed75c35332706226b303b2e9017
layer-3-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-3-geometry-u64le	40	e646b8315e2789777a6ea5b3daf96303a44439a83ac9223bfae1c7f56cf4c7c8
layer-3-key-q8_0	17686528	f384244e4aa714391c0fb1d378a059991db33fc9e907a352b86361cb2dc6e59f
layer-3-value-q5_1	12484608	0f272b7000792cfb9b6b2da2490446d6c2f393dac033031771d089bcdc139403
layer-3-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-4-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-4-conv-f32le	122880	499dd7321810ffdba62fe6509d6c2b84dcbe5e6b00d82ae807062baa97e5e364
layer-4-ssm-f32le	3145728	06a1dadf37d1645e2d5fa9c917fa6e1f33fa7fbebfb297ca6c8d01681339f4fe
layer-5-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-5-conv-f32le	122880	77d86db27f40a7a858f3d0a350ed653781927a67d3a91f3c312fdbf85f833009
layer-5-ssm-f32le	3145728	9d939e1ce285da904c515b79a7cac4255316d50b075ef0dd917e1d9aaf5aa271
layer-6-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-6-conv-f32le	122880	4166e0c0a431bc6b9f0f5f3f99aa07c3fb8a2b833b614282eb43cb59347fbbce
layer-6-ssm-f32le	3145728	d429ab3f6611a1af8910b50d0c5fcd479f7426cdf318b7dbf9cd5a57842a7e89
layer-7-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-7-geometry-u64le	40	e646b8315e2789777a6ea5b3daf96303a44439a83ac9223bfae1c7f56cf4c7c8
layer-7-key-q8_0	17686528	3bf452d39e700ee684afdb2b47ca875bd4c8909a40d19744e897a6820dce5fa9
layer-7-value-q5_1	12484608	13c2324583508c920a93f694c530799a71d930a410f93b1598e47dabe7ff30c2
layer-7-len-device-i32le	4	df3f619804a92fdb4057192dc43dd748ea778adc52bc498ce80524c014b81119
layer-8-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-8-conv-f32le	122880	3c8ec81de85da64550c11c405c60f6d47727b518491ad072fc6532b6c42a742c
layer-8-ssm-f32le	3145728	16113e204b55e8d938b4f6215449428ffd2c3f1f194db25e720400a4e29ce46c
layer-9-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-9-conv-f32le	122880	9f16130ee6aba97538eee3db655f99685bd7d62d71fbbd57c6bbd8083f2a800d
layer-9-ssm-f32le	3145728	3e9367072a4ea468e8b2ac993d89d51c84896c3ded3363b320e0995a856e9af2
layer-10-presence	2	b413f47d13ee2fe6c845b2ee141af81de858df4ec549a58b7970bb96645bc8d2
layer-10-conv-f32le	122880	e517975ad242699bb49295d5de7521b3b605233ee815d71427973fa7c1506d6b
layer-10-ssm-f32le	3145728	ff0324169ff4d10db2f1f36978dc5484b974f11559afb982b0593f0279a71bec
layer-11-presence	2	47dc540c94ceb704a23875c11273e16bb0b8a87aed84de911f2133568115f254
layer-11-geometry-u64le	40	e646b8315e2789777a6ea5b3daf96303a44439a83ac9223bfae1c7f56cf4c7c8
layer-11-key-q8_0	17686528	51d744e7e8d367699b431cddac346338374da8b99aec0449fc31f1432e8a4050
layer-11-value-q5_1	12484608	7f67eddfd255649c1f6909e12b58492599157c808e70eb53c5d2542ddb657c60
