layer	role	virtual_address	valid_bytes	physical_bytes	granularity
3	Key	139958492856320	17686528	18874368	2097152
3	Value	80262201344	12484608	14680064	2097152
7	Key	80276881408	17686528	18874368	2097152
7	Value	80295755776	12484608	14680064	2097152
11	Key	80310435840	17686528	18874368	2097152
11	Value	80329310208	12484608	14680064	2097152
15	Key	80343990272	17686528	18874368	2097152
15	Value	80362864640	12484608	14680064	2097152
19	Key	80377544704	17686528	18874368	2097152
19	Value	80396419072	12484608	14680064	2097152
23	Key	80411099136	17686528	18874368	2097152
23	Value	80429973504	12484608	14680064	2097152
27	Key	80444653568	17686528	18874368	2097152
27	Value	80463527936	12484608	14680064	2097152
31	Key	80478208000	17686528	18874368	2097152
31	Value	80497082368	12484608	14680064	2097152
35	Key	80511762432	17686528	18874368	2097152
35	Value	80530636800	12484608	14680064	2097152
39	Key	80545316864	17686528	18874368	2097152
39	Value	80564191232	12484608	14680064	2097152
43	Key	80578871296	17686528	18874368	2097152
43	Value	80597745664	12484608	14680064	2097152
47	Key	80612425728	17686528	18874368	2097152
47	Value	80631300096	12484608	14680064	2097152
51	Key	80645980160	17686528	18874368	2097152
51	Value	80664854528	12484608	14680064	2097152
55	Key	80679534592	17686528	18874368	2097152
55	Value	80698408960	12484608	14680064	2097152
59	Key	80713089024	17686528	18874368	2097152
59	Value	80731963392	12484608	14680064	2097152
63	Key	80746643456	17686528	18874368	2097152
63	Value	80765517824	12484608	14680064	2097152
