prompt	k	rounds	drafted	accepted	out_len	tape_identical	accept_rate	acc_per_cycle	tok_per_cycle
p00-code	1	68	68	60	128	yes	0.8824	0.882	1.882
p00-code	2	54	108	74	128	yes	0.6852	1.370	2.370
p00-code	3	50	150	78	128	yes	0.5200	1.560	2.560
p00-code	4	50	200	78	128	yes	0.3900	1.560	2.560
p00-code	5	50	250	78	128	yes	0.3120	1.560	2.560
p00-code	6	50	300	78	128	yes	0.2600	1.560	2.560
p00-code	7	50	350	78	128	yes	0.2229	1.560	2.560
p01-code	1	74	74	53	128	yes	0.7162	0.716	1.716
p01-code	2	66	132	63	128	yes	0.4773	0.955	1.955
p01-code	3	59	177	68	128	yes	0.3842	1.153	2.153
p01-code	4	60	240	67	128	yes	0.2792	1.117	2.117
p01-code	5	60	300	67	128	yes	0.2233	1.117	2.117
p01-code	6	60	360	67	128	yes	0.1861	1.117	2.117
p01-code	7	60	420	67	128	yes	0.1595	1.117	2.117
p02-code	1	69	69	58	128	yes	0.8406	0.841	1.841
p02-code	2	54	108	73	128	yes	0.6759	1.352	2.352
p02-code	3	50	150	77	128	yes	0.5133	1.540	2.540
p02-code	4	50	200	77	128	yes	0.3850	1.540	2.540
p02-code	5	50	250	77	128	yes	0.3080	1.540	2.540
p02-code	6	50	300	77	128	yes	0.2567	1.540	2.540
p02-code	7	50	350	77	128	yes	0.2200	1.540	2.540
p03-code	1	73	73	55	128	yes	0.7534	0.753	1.753
p03-code	2	57	114	70	128	yes	0.6140	1.228	2.228
