prompt	k	rounds	drafted	accepted	out_len	tape_identical	accept_rate	acc_per_cycle	tok_per_cycle
p10-agent-a	1	69	69	59	128	yes	0.8551	0.855	1.855
p10-agent-a	2	53	106	76	128	yes	0.7170	1.434	2.434
p10-agent-a	3	51	153	79	128	yes	0.5163	1.549	2.549
p10-agent-a	4	51	204	79	128	yes	0.3873	1.549	2.549
p10-agent-a	5	51	255	79	128	yes	0.3098	1.549	2.549
p10-agent-a	6	51	306	79	128	yes	0.2582	1.549	2.549
p10-agent-a	7	51	357	79	128	yes	0.2213	1.549	2.549
p11-agent-b	1	71	71	57	128	yes	0.8028	0.803	1.803
p11-agent-b	2	57	114	72	128	yes	0.6316	1.263	2.263
p11-agent-b	3	51	153	78	128	yes	0.5098	1.529	2.529
p11-agent-b	4	50	200	79	128	yes	0.3950	1.580	2.580
p11-agent-b	5	50	250	79	128	yes	0.3160	1.580	2.580
p11-agent-b	6	50	300	79	128	yes	0.2633	1.580	2.580
p11-agent-b	7	50	350	79	128	yes	0.2257	1.580	2.580
p12-agent-c	1	71	71	56	128	yes	0.7887	0.789	1.789
p12-agent-c	2	54	108	73	128	yes	0.6759	1.352	2.352
p12-agent-c	3	48	144	80	128	yes	0.5556	1.667	2.667
p12-agent-c	4	47	188	80	128	yes	0.4255	1.702	2.702
p12-agent-c	5	47	235	80	128	yes	0.3404	1.702	2.702
p12-agent-c	6	47	282	80	128	yes	0.2837	1.702	2.702
p12-agent-c	7	47	329	80	128	yes	0.2432	1.702	2.702
