epoch_ms,mem_used_mib,admission_booked_bytes,cuda_driver_free_bytes
1790025357021,8377,0,0
1790025357271,8377,0,0
1790025357521,8377,0,0
1790025357771,8377,0,0
1790025358021,8441,0,0
1790025358271,8697,0,0
1790025358521,8697,0,16029908992
1790025358771,8697,0,16029908992
1790025359021,8697,0,16029908992
1790025359271,8697,0,16029908992
1790025359521,8697,0,16029908992
1790025359771,8697,0,16029908992
1790025360021,8697,0,16029908992
1790025360271,8697,0,16029908992
1790025360521,8953,0,16029908992
1790025360771,9561,0,16029908992
1790025361021,9593,0,16029908992
1790025361271,9593,0,16029908992
1790025361521,9593,0,16029908992
1790025361771,9593,0,16029908992
1790025362021,9593,0,16029908992
1790025362271,9593,0,16029908992
1790025362521,9593,0,16029908992
1790025362771,9593,0,16029908992
1790025363021,9593,0,16029908992
1790025363271,9593,0,16029908992
1790025363521,9593,0,16029908992
1790025363771,9593,0,16029908992
1790025364021,9593,0,16029908992
1790025364271,9753,0,16029908992
1790025364521,9785,0,16029908992
1790025364771,9817,0,16029908992
1790025365021,9817,0,16029908992
1790025365271,9817,0,16029908992
1790025365521,9817,0,16029908992
1790025365771,9913,0,16029908992
1790025366021,9913,0,16029908992
1790025366271,9913,6897311892,14754840576
1790025366521,9913,6897311892,14754840576
1790025366771,9913,6897311892,14754840576
1790025367021,9913,0,14754840576
1790025367271,9913,0,14754840576
1790025367521,9913,0,14754840576
1790025367771,9913,0,14754840576
1790025368021,9913,0,14754840576
1790025368271,9913,0,14754840576
1790025368521,9913,0,14754840576
1790025368771,9913,0,14754840576
1790025369021,10969,0,14754840576
1790025369271,10969,0,14754840576
1790025369521,10969,0,14754840576
1790025369771,11097,0,14754840576
1790025370021,11097,0,14754840576
1790025370271,11097,0,14754840576
1790025370521,11097,0,14754840576
1790025370771,11129,0,14754840576
1790025371021,11129,0,14754840576
1790025371271,11129,0,14754840576
1790025371521,11129,0,14754840576
1790025371771,11129,0,14754840576
1790025372021,11129,0,14754840576
1790025372271,11129,0,14754840576
1790025372521,11129,0,13479772160
1790025372771,11129,0,13479772160
1790025373021,11129,0,13479772160
1790025373271,11129,0,13479772160
1790025373521,11129,0,13479772160
1790025373771,11129,0,13479772160
1790025374021,11129,0,13479772160
1790025374271,11129,0,13479772160
1790025374521,11129,0,13479772160
1790025374771,11129,0,13479772160
1790025375021,11129,0,13479772160
1790025375271,11129,0,13479772160
1790025375521,11129,0,13479772160
1790025375771,11129,0,13479772160
1790025376021,11129,0,13479772160
1790025376271,11129,0,13479772160
1790025376521,11129,0,13479772160
1790025376771,11129,0,13479772160
1790025377021,11129,0,13479772160
1790025377271,11129,0,13479772160
1790025377521,11129,0,13479772160
1790025377771,11129,0,13479772160
1790025378021,11129,0,13479772160
1790025378271,11129,0,13479772160
1790025378521,11129,0,13479772160
1790025378771,11129,0,13479772160
1790025379021,11129,0,13479772160
1790025379271,11129,0,13479772160
1790025379521,11129,0,13479772160
1790025379771,11129,0,13479772160
1790025380021,11129,6961434848,13479772160
1790025380271,11129,6961434848,13479772160
1790025380521,11129,6961434848,13479772160
1790025380771,11129,6961434848,13479772160
1790025381021,11129,0,13479772160
1790025381271,11129,0,13479772160
1790025381521,11129,0,13479772160
1790025381771,11129,0,13479772160
1790025382021,11129,0,13479772160
1790025382271,11129,0,13479772160
1790025382521,11129,0,13479772160
1790025382771,11129,0,13479772160
