# qwen4exp_real_gate	label=nvfp4-hcmt	binary_sha256=5f673826e76ad12fee4c0cc9510688515f61c055b2dbd4bf99598f7228aa3daf	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ladder: one run per K (not interleaved — ordering signal only; the A/B is the claim)
k	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len	draft_ms_share	verify_ms_share	hist	chain_prefix
3	100	8.44	118.52	0.889	3.70	0.15	0.84	2,1,1,23	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
4	100	8.50	117.58	0.870	4.35	0.18	0.82	1,1,2,1,18	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
5	100	8.02	124.66	0.863	5.26	0.19	0.81	1,0,2,1,0,15	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
6	100	8.20	121.90	0.853	5.88	0.20	0.80	1,0,1,0,1,3,11	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
7	100	8.68	115.26	0.804	6.25	0.21	0.79	1,1,0,0,2,0,3,9	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
8	100	8.94	111.89	0.700	6.67	0.21	0.79	1,1,0,1,1,2,2,2,5	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
10	100	9.89	101.15	0.621	7.14	0.22	0.78	1,1,0,1,1,1,2,2,1,0,4	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
12	100	11.48	87.12	0.571	7.69	0.21	0.78	1,0,1,0,1,1,2,2,1,0,1,2,1	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009
