# qwen4exp_real_gate	label=nvfp4-hcmt	binary_sha256=5f673826e76ad12fee4c0cc9510688515f61c055b2dbd4bf99598f7228aa3daf	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-ab k=5: plain greedy decode vs spec_generate, fresh states per arm per rep
rep	arm	tokens	ms_per_token	tok_per_s	accept_rate	mean_accept_len
0	plain	100	14.42	69.35	-	-
0	spec	100	8.27	120.93	0.863	5.26
1	plain	100	14.40	69.46	-	-
1	spec	100	8.34	119.84	0.863	5.26
2	plain	100	14.43	69.32	-	-
2	spec	100	8.30	120.45	0.863	5.26
3	plain	100	14.42	69.36	-	-
3	spec	100	8.17	122.36	0.863	5.26
4	plain	100	14.39	69.48	-	-
4	spec	100	8.12	123.12	0.863	5.26
# arm plain	mean_of_means_ms=14.41	min=14.39	max=14.43	tok_per_s=69.39
# arm spec	mean_of_means_ms=8.24	min=8.12	max=8.34	tok_per_s=121.33
# rep0_plain_vs_spec_first_divergence	-1
# accept_hist_total	5,0,10,5,0,75
# rep0_plain	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009,198,285,638,4381,283,1727,1358,727,10562,22517,39914,36053,7080,16,25,19876,11,1103,17,25,19876,8,1411,19876,25,198,262,4071,198,262,38754,1330,10300,10278,11140,1083,799,10300,10278,1103,13,198,1031,262,17167,25,198,285,1103,16,25,10877,314,279,1118,10300,10278,1103,13,198,285,1103,17,25,10877,314,279,2018
# rep0_spec	271,248068,271,248069,271,71093,12305,198,1005,19876,25,198,262,687,1259,2251,3676,701,11,1009,28,15,11,1727,5675,1590,198,285,638,10518,283,1009,198,285,638,4381,283,1727,1358,727,10562,22517,39914,36053,7080,16,25,19876,11,1103,17,25,19876,8,1411,19876,25,198,262,4071,198,262,38754,1330,10300,10278,11140,1083,799,10300,10278,1103,13,198,1031,262,17167,25,198,285,1103,16,25,10877,314,279,1118,10300,10278,1103,13,198,285,1103,17,25,10877,314,279,2018
