timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/13 18:52:00.202, 0 %, 2 MiB, 16.65 W, 195 MHz, 49
2026/09/13 18:52:00.457, 0 %, 544 MiB, 16.65 W, 195 MHz, 49
2026/09/13 18:52:00.707, 0 %, 544 MiB, 27.32 W, 2565 MHz, 50
2026/09/13 18:52:00.957, 0 %, 1632 MiB, 27.32 W, 2565 MHz, 50
2026/09/13 18:52:01.208, 27 %, 4192 MiB, 59.75 W, 2595 MHz, 50
2026/09/13 18:52:01.458, 27 %, 6592 MiB, 59.75 W, 2595 MHz, 50
2026/09/13 18:52:01.708, 60 %, 10304 MiB, 84.79 W, 2655 MHz, 51
2026/09/13 18:52:01.958, 60 %, 10304 MiB, 84.79 W, 2655 MHz, 51
2026/09/13 18:52:02.208, 99 %, 10304 MiB, 176.22 W, 2895 MHz, 58
2026/09/13 18:52:02.458, 99 %, 10304 MiB, 176.22 W, 2895 MHz, 58
2026/09/13 18:52:02.709, 99 %, 10592 MiB, 321.02 W, 2902 MHz, 56
2026/09/13 18:52:02.959, 99 %, 10592 MiB, 321.02 W, 2902 MHz, 56
2026/09/13 18:52:03.209, 0 %, 38 MiB, 281.11 W, 2910 MHz, 53
2026/09/13 18:52:03.459, 0 %, 544 MiB, 281.11 W, 2910 MHz, 53
2026/09/13 18:52:03.709, 0 %, 1344 MiB, 134.77 W, 2917 MHz, 52
2026/09/13 18:52:03.959, 0 %, 3744 MiB, 134.77 W, 2917 MHz, 52
2026/09/13 18:52:04.210, 25 %, 6176 MiB, 94.86 W, 2917 MHz, 52
2026/09/13 18:52:04.460, 25 %, 10304 MiB, 94.86 W, 2917 MHz, 52
2026/09/13 18:52:04.710, 0 %, 10304 MiB, 101.36 W, 2790 MHz, 56
2026/09/13 18:52:04.960, 0 %, 10304 MiB, 101.36 W, 2790 MHz, 56
2026/09/13 18:52:05.210, 99 %, 10304 MiB, 252.44 W, 2902 MHz, 59
2026/09/13 18:52:05.460, 99 %, 10592 MiB, 252.44 W, 2902 MHz, 59
2026/09/13 18:52:05.711, 98 %, 10592 MiB, 375.16 W, 2887 MHz, 61
2026/09/13 18:52:05.961, 98 %, 10592 MiB, 375.16 W, 2887 MHz, 61
2026/09/13 18:52:06.211, 33 %, 10592 MiB, 408.18 W, 2887 MHz, 55
2026/09/13 18:52:06.461, 33 %, 2 MiB, 408.18 W, 2887 MHz, 55
2026/09/13 18:52:06.711, 1 %, 544 MiB, 269.35 W, 2910 MHz, 53
2026/09/13 18:52:06.961, 1 %, 544 MiB, 269.35 W, 2910 MHz, 53
2026/09/13 18:52:07.211, 40 %, 2496 MiB, 97.63 W, 2910 MHz, 52
2026/09/13 18:52:07.462, 40 %, 4992 MiB, 97.63 W, 2910 MHz, 52
2026/09/13 18:52:07.712, 25 %, 8064 MiB, 93.84 W, 2917 MHz, 52
2026/09/13 18:52:07.962, 25 %, 10304 MiB, 93.84 W, 2917 MHz, 52
2026/09/13 18:52:08.212, 93 %, 10304 MiB, 130.87 W, 2805 MHz, 58
2026/09/13 18:52:08.462, 93 %, 10304 MiB, 130.87 W, 2805 MHz, 58
2026/09/13 18:52:08.712, 99 %, 10304 MiB, 292.04 W, 2902 MHz, 60
2026/09/13 18:52:08.963, 99 %, 10304 MiB, 292.04 W, 2902 MHz, 60
2026/09/13 18:52:09.213, 98 %, 10304 MiB, 423.37 W, 2887 MHz, 62
2026/09/13 18:52:09.463, 98 %, 10304 MiB, 423.37 W, 2887 MHz, 62
2026/09/13 18:52:09.713, 0 %, 10303 MiB, 375.17 W, 2902 MHz, 54
2026/09/13 18:52:09.963, 0 %, 508 MiB, 375.17 W, 2902 MHz, 54
2026/09/13 18:52:10.213, 0 %, 544 MiB, 202.25 W, 2910 MHz, 52
2026/09/13 18:52:10.464, 0 %, 1472 MiB, 202.25 W, 2910 MHz, 52
2026/09/13 18:52:10.714, 27 %, 4000 MiB, 97.60 W, 2910 MHz, 52
2026/09/13 18:52:10.964, 27 %, 6432 MiB, 97.60 W, 2910 MHz, 52
2026/09/13 18:52:11.214, 74 %, 10304 MiB, 103.12 W, 2917 MHz, 52
2026/09/13 18:52:11.465, 74 %, 10304 MiB, 103.12 W, 2917 MHz, 52
2026/09/13 18:52:11.715, 99 %, 10304 MiB, 182.84 W, 2895 MHz, 59
2026/09/13 18:52:11.965, 99 %, 10304 MiB, 182.84 W, 2895 MHz, 59
2026/09/13 18:52:12.215, 99 %, 10304 MiB, 335.14 W, 2902 MHz, 62
2026/09/13 18:52:12.465, 99 %, 10304 MiB, 335.14 W, 2902 MHz, 62
2026/09/13 18:52:12.715, 98 %, 10304 MiB, 432.40 W, 2887 MHz, 62
2026/09/13 18:52:12.965, 98 %, 10304 MiB, 432.40 W, 2887 MHz, 62
2026/09/13 18:52:13.215, 17 %, 2 MiB, 333.39 W, 2910 MHz, 53
2026/09/13 18:52:13.466, 17 %, 544 MiB, 333.39 W, 2910 MHz, 53
2026/09/13 18:52:13.716, 0 %, 544 MiB, 148.28 W, 2910 MHz, 52
2026/09/13 18:52:13.966, 0 %, 2752 MiB, 148.28 W, 2910 MHz, 52
