timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:29:57.769, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 0 %, 31.97 W, 180 MHz, 405 MHz, 30
2026/08/25 00:29:58.031, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 22 MiB, 0 %, 33.62 W, 172 MHz, 405 MHz, 30
2026/08/25 00:29:58.281, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 1 %, 41.08 W, 1035 MHz, 12481 MHz, 31
2026/08/25 00:29:58.531, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 2 %, 49.29 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:29:58.781, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1877 MiB, 9 %, 53.39 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:29:59.038, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2773 MiB, 4 %, 86.63 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:29:59.297, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3223 MiB, 2 %, 87.56 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:29:59.547, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4153 MiB, 9 %, 87.69 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:29:59.805, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5049 MiB, 1 %, 87.55 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:00.064, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5499 MiB, 9 %, 87.68 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:00.314, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6397 MiB, 9 %, 87.67 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:00.572, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7327 MiB, 1 %, 87.78 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:00.834, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7775 MiB, 9 %, 87.84 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:01.084, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 8673 MiB, 1 %, 87.73 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:01.342, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9571 MiB, 1 %, 87.91 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:01.602, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10051 MiB, 9 %, 87.82 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:01.852, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10949 MiB, 1 %, 87.85 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:02.109, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 11847 MiB, 9 %, 87.82 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:02.369, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 12297 MiB, 9 %, 87.95 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:02.619, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 13225 MiB, 9 %, 88.00 W, 2325 MHz, 12481 MHz, 32
2026/08/25 00:30:02.876, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 14123 MiB, 9 %, 88.01 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:03.126, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 14573 MiB, 1 %, 87.98 W, 2325 MHz, 12481 MHz, 32
2026/08/25 00:30:03.389, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 15501 MiB, 2 %, 87.83 W, 2325 MHz, 12481 MHz, 31
2026/08/25 00:30:03.639, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 16239 MiB, 9 %, 87.77 W, 2325 MHz, 12481 MHz, 32
2026/08/25 00:30:03.889, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 16849 MiB, 1 %, 87.87 W, 2325 MHz, 12481 MHz, 32
2026/08/25 00:30:04.139, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 17745 MiB, 9 %, 87.83 W, 2325 MHz, 12481 MHz, 32
2026/08/25 00:30:04.389, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 18227 MiB, 9 %, 88.04 W, 2325 MHz, 12481 MHz, 32
2026/08/25 00:30:04.639, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 19093 MiB, 9 %, 88.22 W, 2325 MHz, 12481 MHz, 32
