timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:30:43.692, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 21 %, 93.77 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:30:43.947, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 0 %, 95.79 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:30:44.197, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 0 %, 95.80 W, 2317 MHz, 12481 MHz, 39
2026/08/25 00:30:44.447, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1427 MiB, 8 %, 96.05 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:30:44.710, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2325 MiB, 1 %, 92.49 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:30:44.973, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2775 MiB, 9 %, 91.06 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:30:45.223, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3671 MiB, 9 %, 91.21 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:30:45.486, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4601 MiB, 1 %, 91.10 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:30:45.736, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5051 MiB, 9 %, 90.91 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:30:45.999, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5947 MiB, 9 %, 90.80 W, 2317 MHz, 12481 MHz, 38
2026/08/25 00:30:46.261, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6877 MiB, 1 %, 90.81 W, 2317 MHz, 12481 MHz, 38
