timestamp, index, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], temperature.gpu
2026/08/25 00:32:14.214, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 0 MiB, 0 %, 95.47 W, 2317 MHz, 12481 MHz, 41
2026/08/25 00:32:14.468, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 595 MiB, 0 %, 97.15 W, 2317 MHz, 12481 MHz, 41
2026/08/25 00:32:14.718, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 947 MiB, 0 %, 97.11 W, 2317 MHz, 12481 MHz, 41
2026/08/25 00:32:14.968, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 1427 MiB, 7 %, 97.18 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:15.228, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2293 MiB, 9 %, 93.54 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:15.479, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 2775 MiB, 2 %, 92.13 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:15.729, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 3671 MiB, 9 %, 92.17 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:15.979, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 4153 MiB, 9 %, 92.09 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:16.229, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5051 MiB, 1 %, 92.00 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:16.479, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 5947 MiB, 9 %, 91.90 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:16.741, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 6397 MiB, 1 %, 91.89 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:16.992, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7327 MiB, 1 %, 91.91 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:17.242, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 7775 MiB, 9 %, 91.78 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:17.492, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 8673 MiB, 1 %, 91.94 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:17.742, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 9571 MiB, 9 %, 92.00 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:17.992, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10051 MiB, 9 %, 91.91 W, 2317 MHz, 12481 MHz, 40
2026/08/25 00:32:18.242, 0, GPU-c7a984e7-502c-30a9-2839-e19703802681, 10949 MiB, 1 %, 91.84 W, 2317 MHz, 12481 MHz, 39
