timestamp, index, temperature.gpu, clocks.current.sm [MHz], power.draw [W], memory.used [MiB]
2026/08/04 02:53:55.391, 0, 35, 2400 MHz, 66.20 W, 7360 MiB
2026/08/04 02:53:56.410, 0, 35, 2400 MHz, 66.07 W, 7360 MiB
2026/08/04 02:53:57.410, 0, 35, 2400 MHz, 65.27 W, 7360 MiB
2026/08/04 02:53:58.410, 0, 35, 2400 MHz, 65.35 W, 7456 MiB
2026/08/04 02:53:59.410, 0, 35, 2400 MHz, 65.62 W, 7456 MiB
2026/08/04 02:54:00.411, 0, 35, 2400 MHz, 65.47 W, 7552 MiB
2026/08/04 02:54:01.411, 0, 35, 2400 MHz, 65.67 W, 7552 MiB
2026/08/04 02:54:02.411, 0, 35, 2400 MHz, 65.34 W, 7552 MiB
2026/08/04 02:54:03.411, 0, 35, 2407 MHz, 65.25 W, 7648 MiB
2026/08/04 02:54:04.412, 0, 35, 2400 MHz, 65.21 W, 7648 MiB
2026/08/04 02:54:05.412, 0, 35, 2400 MHz, 65.18 W, 7712 MiB
2026/08/04 02:54:06.412, 0, 35, 2407 MHz, 64.95 W, 7744 MiB
2026/08/04 02:54:07.412, 0, 35, 2400 MHz, 64.89 W, 7744 MiB
2026/08/04 02:54:08.413, 0, 35, 2400 MHz, 64.92 W, 7840 MiB
2026/08/04 02:54:09.413, 0, 35, 2400 MHz, 65.84 W, 7840 MiB
2026/08/04 02:54:10.413, 0, 35, 2400 MHz, 65.54 W, 7840 MiB
2026/08/04 02:54:11.413, 0, 35, 2400 MHz, 65.69 W, 7936 MiB
2026/08/04 02:54:12.413, 0, 35, 2400 MHz, 65.49 W, 7936 MiB
2026/08/04 02:54:13.414, 0, 35, 2400 MHz, 65.32 W, 7936 MiB
2026/08/04 02:54:14.414, 0, 35, 2400 MHz, 65.65 W, 8032 MiB
2026/08/04 02:54:15.414, 0, 35, 2400 MHz, 65.71 W, 8032 MiB
2026/08/04 02:54:16.414, 0, 35, 2400 MHz, 65.66 W, 8064 MiB
2026/08/04 02:54:17.415, 0, 35, 2400 MHz, 65.51 W, 8096 MiB
2026/08/04 02:54:18.415, 0, 35, 2400 MHz, 65.66 W, 8128 MiB
2026/08/04 02:54:19.415, 0, 35, 2400 MHz, 65.64 W, 8128 MiB
2026/08/04 02:54:20.415, 0, 35, 2400 MHz, 65.29 W, 8224 MiB
2026/08/04 02:54:21.416, 0, 35, 2400 MHz, 65.52 W, 8224 MiB
2026/08/04 02:54:22.416, 0, 35, 2400 MHz, 65.38 W, 8224 MiB
