timestamp, index, pstate, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, memory.used [MiB], utilization.gpu [%], pcie.link.gen.current, pcie.link.width.current
2026/09/19 22:47:18.588, 0, P8, 195 MHz, 405 MHz, 14.29 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 22:47:18.851, 0, P8, 195 MHz, 405 MHz, 14.29 W, 23, 2 MiB, 0 %, 1, 16
2026/09/19 22:47:19.112, 0, P8, 195 MHz, 405 MHz, 14.21 W, 23, 36 MiB, 0 %, 1, 16
2026/09/19 22:47:19.362, 0, P1, 2580 MHz, 13801 MHz, 27.69 W, 25, 2 MiB, 0 %, 5, 16
