index, uuid, name, driver_version, memory.total [MiB]
0, GPU-70239e76-0276-628e-6f60-899f410faa25, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 595.71.05, 97887 MiB
1, GPU-439e870a-c263-6cee-e91b-1ace99a78541, NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition, 595.71.05, 97887 MiB
