timestamp, power.draw [W], clocks.current.sm [MHz], temperature.gpu, utilization.gpu [%], memory.used [MiB]
2026/08/04 19:13:58.950, 8.78 W, 180 MHz, 24, 0 %, 2 MiB
2026/08/04 19:13:59.956, 30.81 W, 2632 MHz, 26, 6 %, 2740 MiB
2026/08/04 19:14:00.956, 81.91 W, 2617 MHz, 26, 6 %, 5812 MiB
2026/08/04 19:14:01.956, 81.54 W, 2625 MHz, 26, 6 %, 8948 MiB
2026/08/04 19:14:02.956, 81.79 W, 2625 MHz, 26, 7 %, 12116 MiB
2026/08/04 19:14:03.957, 82.22 W, 2625 MHz, 26, 6 %, 14740 MiB
2026/08/04 19:14:04.957, 80.26 W, 2610 MHz, 26, 0 %, 14740 MiB
2026/08/04 19:14:05.957, 191.07 W, 2850 MHz, 33, 96 %, 16884 MiB
2026/08/04 19:14:06.957, 420.49 W, 2872 MHz, 35, 100 %, 16884 MiB
2026/08/04 19:14:07.957, 419.90 W, 2857 MHz, 36, 100 %, 17428 MiB
2026/08/04 19:14:08.957, 420.08 W, 2857 MHz, 36, 100 %, 17428 MiB
2026/08/04 19:14:09.957, 420.03 W, 2857 MHz, 37, 100 %, 17428 MiB
2026/08/04 19:14:10.957, 421.52 W, 2857 MHz, 37, 100 %, 17428 MiB
2026/08/04 19:14:11.957, 420.88 W, 2857 MHz, 38, 100 %, 17428 MiB
2026/08/04 19:14:12.958, 407.10 W, 2857 MHz, 38, 97 %, 17428 MiB
2026/08/04 19:14:13.958, 421.57 W, 2857 MHz, 39, 100 %, 17428 MiB
2026/08/04 19:14:14.958, 422.70 W, 2857 MHz, 39, 100 %, 17428 MiB
2026/08/04 19:14:15.958, 423.69 W, 2857 MHz, 40, 100 %, 17428 MiB
2026/08/04 19:14:16.958, 423.33 W, 2857 MHz, 40, 100 %, 17428 MiB
2026/08/04 19:14:17.958, 424.37 W, 2857 MHz, 40, 100 %, 17428 MiB
2026/08/04 19:14:18.958, 423.61 W, 2857 MHz, 41, 100 %, 17428 MiB
2026/08/04 19:14:19.958, 411.60 W, 2857 MHz, 41, 97 %, 17428 MiB
2026/08/04 19:14:20.958, 424.38 W, 2857 MHz, 42, 100 %, 17428 MiB
2026/08/04 19:14:21.959, 424.71 W, 2857 MHz, 42, 100 %, 17428 MiB
2026/08/04 19:14:22.959, 425.48 W, 2857 MHz, 42, 100 %, 17428 MiB
2026/08/04 19:14:23.959, 425.45 W, 2857 MHz, 43, 100 %, 17428 MiB
2026/08/04 19:14:24.959, 426.22 W, 2857 MHz, 43, 100 %, 17428 MiB
2026/08/04 19:14:25.959, 425.86 W, 2857 MHz, 43, 100 %, 17428 MiB
2026/08/04 19:14:26.959, 409.18 W, 2857 MHz, 43, 97 %, 17428 MiB
2026/08/04 19:14:27.959, 426.00 W, 2857 MHz, 44, 100 %, 17428 MiB
2026/08/04 19:14:28.959, 425.93 W, 2857 MHz, 44, 100 %, 17428 MiB
2026/08/04 19:14:29.960, 427.62 W, 2857 MHz, 44, 100 %, 17428 MiB
2026/08/04 19:14:30.960, 427.71 W, 2857 MHz, 45, 100 %, 17428 MiB
2026/08/04 19:14:31.960, 428.42 W, 2842 MHz, 45, 100 %, 17428 MiB
2026/08/04 19:14:32.960, 427.69 W, 2842 MHz, 45, 100 %, 17428 MiB
2026/08/04 19:14:33.961, 414.49 W, 2857 MHz, 45, 97 %, 17428 MiB
2026/08/04 19:14:34.961, 427.78 W, 2842 MHz, 46, 100 %, 17428 MiB
2026/08/04 19:14:35.961, 428.62 W, 2842 MHz, 46, 100 %, 17428 MiB
2026/08/04 19:14:36.961, 429.88 W, 2850 MHz, 46, 100 %, 17428 MiB
2026/08/04 19:14:37.961, 429.54 W, 2842 MHz, 47, 100 %, 17428 MiB
