[server] starting; models config = [("step35", "/workspace/models/step-3.7-flash/IQ4_XS/Step-3.7-flash-IQ4_XS-00001-of-00003.gguf", Some("/workspace/models/step-3.7-flash/Step3.7-flash-mtp-Q8_0.gguf"))]
[gpu-watch] Xid source: journalctl -k -f (/dev/kmsg unreadable — kernel.dmesg_restrict)
[gpu-watch] on: every 60s, probe deadline 10s, fatal Xid [48, 64, 79, 94, 95, 119, 120]
[worker] Engine ready (device=1, MEMRA_FAST=true)
[spec-gate] policy disabled by MEMRA_SPEC_GATE=0: always-spec
[spec-k] automatic table: prompt<1024 -> K=3; cold-long -> K=3; prompt>= 1024 and cached>= 1024 -> K=2
[worker] loading model "step35" <- /workspace/models/step-3.7-flash/IQ4_XS/Step-3.7-flash-IQ4_XS-00001-of-00003.gguf
[pp] cross-device transport: stage0=dev0 stage1=dev1 (cudaMemcpyPeerAsync per cross boundary; peer + default-pool access granted all pairs over [0, 1]; weight home: per-stage (sharded loader))
[moe] resident-experts decision (PP dev0): experts 45.72GB + trunk 3.92GB vs free 100.88GB (expert budget 94.97GB) -> RESIDENT
[moe] resident-experts decision (PP dev1): experts 55.35GB + trunk 3.92GB vs free 100.72GB (expert budget 94.81GB) -> RESIDENT
[fa] v4 decode family disabled: gqa 12 > fa_v4_smem capacity 8 (v3 lane serves)
[mtp-draft] step35 MTP geometry blk.45: n_head=96 n_head_kv=8 n_rot=128 rope_base=10000 swa=true window=512
[mtp-draft] external draft head: blk.45, source=nextn.shared_head_head.weight, head_vocab=128896 (full)
[worker] step35: regime draft attached (/workspace/models/step-3.7-flash/Step3.7-flash-mtp-Q8_0.gguf)
[worker]   loaded "step35": 45 layers, eos=128007
[worker] step35: template caps tools=true think=true think_switch=false chat_ok=true effort_levels=true gemma_think=false ctx=262144 tok="deepseek-v3" instruct=Some("chatml") chat_defaults=Some(0.5)/Some(0.9)
[worker] step35: decode chunk cap 8
[server] worker ready; serving models: ["step35"]
[server] listening on http://127.0.0.1:18209
[meter] admit id=cmpl-4bb67f862f32cec73fb29d5c5b6e43d4 tenant=default lane=interactive model="step35"
[spec-k] model="step35" tenant="longdepth-ctx262144-on-t0p7-p1-gpu-d12288-gumbel-fix-rep1" K=3 source=cold-short prompt=368 cached=0 lcp=0 active=1 placement=pp2-cross-device
[worker] observed session VRAM cost for "step35": 11677MB (admission gate = 2x)
[spec-acc] ctx=368 burst=23/33 cum=23/33=0.697
[spec-acc] ctx=403 burst=16/48 cum=39/81=0.481
[spec-acc] ctx=436 burst=17/42 cum=56/123=0.455
[spec-acc] ctx=468 burst=20/36 cum=76/159=0.478
[spec-acc] ctx=501 burst=18/42 cum=94/201=0.468
[spec-acc] ctx=534 burst=18/39 cum=112/240=0.467
[spec-acc] ctx=566 burst=17/45 cum=129/285=0.453
[spec-acc] ctx=599 burst=21/33 cum=150/318=0.472
[spec-acc] ctx=632 burst=19/42 cum=169/360=0.469
[spec-acc] ctx=666 burst=18/39 cum=187/399=0.469
[spec-acc] ctx=698 burst=19/36 cum=206/435=0.474
[spec-acc] ctx=730 burst=18/42 cum=224/477=0.470
[spec-acc] ctx=763 burst=18/42 cum=242/519=0.466
[spec-acc] ctx=796 burst=19/36 cum=261/555=0.470
[spec-acc] ctx=828 burst=18/39 cum=279/594=0.470
[spec-acc] ctx=860 burst=20/36 cum=299/630=0.475
[spec-acc] ctx=893 burst=17/42 cum=316/672=0.470
[spec-acc] ctx=925 burst=19/39 cum=335/711=0.471
[spec-acc] ctx=958 burst=19/39 cum=354/750=0.472
[spec-acc] ctx=991 burst=20/36 cum=374/786=0.476
[spec-acc] ctx=1024 burst=19/36 cum=393/822=0.478
[spec-acc] ctx=1056 burst=18/39 cum=411/861=0.477
[spec-acc] ctx=1088 burst=21/33 cum=432/894=0.483
[spec-acc] ctx=1121 burst=22/33 cum=454/927=0.490
[spec-acc] ctx=1155 burst=18/39 cum=472/966=0.489
[spec-acc] ctx=1187 burst=21/36 cum=493/1002=0.492
