0, NVIDIA RTX PRO 6000 Blackwell Workstation Edition, 2 MiB, 54, 22 MHz, 25.40 W
1, NVIDIA RTX PRO 6000 Blackwell Workstation Edition, 2 MiB, 60, 22 MHz, 27.95 W
