name, driver_version, power.limit [W], clocks.max.sm [MHz]
NVIDIA RTX PRO 6000 Blackwell Workstation Edition, 595.71.05, 500.00 W, 3090 MHz
NVIDIA RTX PRO 6000 Blackwell Workstation Edition, 595.71.05, 500.00 W, 3090 MHz
