index, name, uuid, power.limit [W], temperature.gpu, clocks.current.sm [MHz], memory.used [MiB]
0, NVIDIA B200, GPU-eb336f07-6af8-e121-de0d-e88dfdb1f0b7, 1000.00 W, 36, 120 MHz, 0 MiB
1, NVIDIA B200, GPU-4ddb397d-f41f-81e2-c86c-1e51da59e74c, 1000.00 W, 35, 120 MHz, 0 MiB
