Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
65.6,399123983,84,4751476.0,583430.0,525332,19078432,7206982.5,cuMemcpyDtoHAsync_v2
20.3,123307422,29002,4251.7,1840.0,1523,134502,12169.3,cuLaunchKernel
4.7,28818135,4760,6054.2,2799.0,2011,132473,16360.1,cuMemcpyDtoDAsync_v2
3.9,23510485,6634,3543.9,1439.0,33,134434,14807.7,cuMemsetD8Async
2.2,13131420,41502,316.4,295.0,45,148337,854.6,cuMemAllocAsync
2.0,12158150,42683,284.8,273.0,37,15323,155.7,cuMemFreeAsync
0.5,3291530,63,52246.5,56265.0,38333,118472,12375.1,cuGraphLaunch
0.4,2648071,1199,2208.6,1834.0,1568,17435,1687.2,cuLaunchKernelEx
0.2,982991,7,140427.3,89160.0,18911,559693,191318.3,cuModuleUnload
0.2,968548,414,2339.5,2207.0,1405,13512,833.4,cuMemcpyHtoDAsync_v2
0.1,372963,85,4387.8,3157.0,337,14239,4460.3,cuStreamSynchronize
0.0,103019,1,103019.0,103019.0,103019,103019,0.0,cuGraphExecDestroy
0.0,52265,1,52265.0,52265.0,52265,52265,0.0,cuGraphDestroy
0.0,29143,1,29143.0,29143.0,29143,29143,0.0,cudaDeviceSynchronize
0.0,16508,2,8254.0,8254.0,7392,9116,1219.1,cuStreamDestroy_v2
0.0,5589,1,5589.0,5589.0,5589,5589,0.0,cuProfilerStart
0.0,2505,2,1252.5,1252.5,107,2398,1620.0,cuStreamWaitEvent
0.0,584,2,292.0,292.0,77,507,304.1,cuEventDestroy_v2
