Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
32574469,256,5,,,,,,,,,,0.000,93.750,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32575141,256,9,,,,,,,,,,0.000,62.500,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32575749,256,13,,,,,,,,,,0.000,31.250,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32576357,256,17,,,,,,,,,,0.000,15.625,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32576933,288,21,,,,,,,,,,0.000,13.889,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32577541,256,25,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memcpy Host-to-Device]
32578149,256,29,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memcpy Host-to-Device]
32578725,288,33,,,,,,,,,,0.000,236.111,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32579333,288,37,,,,,,,,,,0.000,27.778,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32580677,800,41,,,,,,,,,,0.123,153600.000,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32582277,1120,43,,,,,,,,,,0.123,109714.268,Device,Device,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memcpy Device-to-Device]
32586949,1952,47,,,,,,,,,,3.146,1611540.726,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32592197,5408,49,,,,,,,,,,3.146,581679.710,Device,Device,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memcpy Device-to-Device]
32597861,768,53,,,,,,,,,,0.123,159999.959,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32598853,1088,55,,,,,,,,,,0.123,112941.097,Device,Device,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memcpy Device-to-Device]
32602565,1888,59,,,,,,,,,,3.146,1666169.438,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
32607269,4640,61,,,,,,,,,,3.146,677957.861,Device,Device,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memcpy Device-to-Device]
32616037,800,65,,,,,,,,,,0.123,153600.000,Device,,NVIDIA GeForce RTX 5090 Laptop GPU (0),1,,13,[CUDA memset]
