Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
53.9,1031052211,104648,9852.6,2620.0,2330,1761988,75959.2,cudaLaunchKernel
34.0,649733020,200,3248665.1,3325.0,2550,20718442,7457447.4,cuMemcpyDtoHAsync_v2
8.6,164327171,12200,13469.4,3450.0,2900,1673200,98605.6,cuMemcpyDtoDAsync_v2
1.3,24059417,2752,8742.5,2890.0,2430,1648030,87796.4,cuMemsetD8Async
0.9,17448369,6912,2524.4,2300.0,1980,14360,593.4,cuMemcpyPeerAsync
0.5,9985895,2784,3586.9,1800.0,1480,62749,8708.3,cuStreamWaitEvent
0.5,9642428,104648,92.1,80.0,69,12189,76.1,cuKernelGetName
0.2,3540843,1504,2354.3,2070.0,1880,23449,1036.3,cuMemcpyHtoDAsync_v2
0.1,1489080,2784,534.9,460.0,350,15429,377.8,cuEventRecord
0.1,1076064,11266,95.5,90.0,70,4460,54.9,cuCtxSetCurrent
0.0,305441,98,3116.7,2740.0,690,5600,1278.9,cuStreamSynchronize
0.0,4740,1,4740.0,4740.0,4740,4740,0.0,cuCtxSynchronize
0.0,3970,1,3970.0,3970.0,3970,3970,0.0,cuProfilerStart
0.0,310,1,310.0,310.0,310,310,0.0,cuProfilerStop
