Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
67.0,28041998,12200,2298.5,2240.0,2143,2784,122.0,[CUDA memcpy Device-to-Device]
16.2,6793893,2752,2468.7,2496.0,2367,2656,48.2,[CUDA memset]
14.3,5976471,6912,864.7,512.0,319,4544,827.9,[CUDA memcpy Peer-to-Peer]
1.5,621817,1504,413.4,288.0,256,1088,166.0,[CUDA memcpy Host-to-Device]
1.0,430494,200,2152.5,672.0,352,10752,3586.6,[CUDA memcpy Device-to-Host]
