
NOTICE: Existing SQLite export found: /tmp/memra-fa3softmax-20260813/q35-nsys-r1.sqlite
        It is assumed file was previously exported from: /tmp/memra-fa3softmax-20260813/q35-nsys-r1.nsys-rep
        Consider using --force-export=true if needed.

Processing [/tmp/memra-fa3softmax-20260813/q35-nsys-r1.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_kern_gb_sum.py]...
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),GridXYZ,BlockXYZ,Name
12.2,256778107,156,1646013.5,1567460.0,328861,3016298,1213752.9,  82    1    1,  32    8    1,"void moe_kq_sk128v_kernel<(int)6>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
6.5,137427156,78,1761886.6,1721283.5,349021,3223720,1312917.1,  82    1    1,  32    8    1,"void moe_kq_sk128v_kernel<(int)5>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
5.2,109705285,156,703239.0,697275.0,534396,934841,87181.4, 246    1    1,  32    4    1,"void moe_kq_sktail_kernel<(int)6>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
4.8,101127917,2400,42136.6,41792.0,39552,47744,1355.6,2048    1    1,  32    4    1,qmatvec_q8_0_mmvq
4.5,93778174,2400,39074.2,39087.5,27359,48895,2681.6, 512    8    1,  32    1    1,moe_gate_up_silu8_dev_q8_v
4.0,84232072,10,8423207.2,8422561.0,8413793,8435649,7403.0,  64   16    1,  32    4    1,fa_prefill_qw_db
3.8,79885607,60,1331426.8,1327253.5,416188,2274639,913872.8,  32    4    1, 256    1    1,gdn_chunk_state_f32
3.7,77637820,40,1940945.5,1939042.0,1927985,1986673,9942.0,  64   32    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
3.1,64730530,4800,13485.5,13072.0,4736,29055,8509.2, 512    1    1,  32    4    1,qmatvec_q8_0_mmvq
2.9,60866996,40,1521674.9,1520452.5,1500629,1548180,11772.0,  32  512    1,  32    8    1,router_gemv_f32_w8_batch
2.5,51760379,62,834844.8,834394.0,824890,849370,3318.3,62080    1    1,  32    4    1,qmatvec_q6_K_mmvq
2.4,49898412,78,639723.2,630971.0,480317,835802,78476.9, 246    1    1,  32    4    1,"void moe_kq_sktail_kernel<(int)5>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
2.3,47525208,80,594065.1,591755.0,167455,1035608,426545.8,  16   32    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
1.9,39578623,1800,21988.1,21984.0,20991,23712,322.8,1024    1    1,  32    4    1,qmatvec_q8_0_mmvq
1.8,38516480,10,3851648.0,3851555.0,3842499,3862915,5774.6,  12   16    1,  32    4    1,fa_prefill_qw_db
1.7,36030834,40,900770.8,899657.0,879705,924697,8670.1,32768    1    1, 256    1    1,rows_permute_f32
1.7,35492431,2400,14788.5,14240.0,12864,26591,1953.8,1024    1    1,  32    8    1,moe_down8_fma_dev_q8_w8h2v
1.4,30342555,560,54183.1,54048.0,49920,60959,1533.0,   2   77    1,  32    8    1,fa_decode_vec_q_seqs_v4
1.4,29731549,30,991051.6,990201.0,980344,1016409,8874.5,  32   32    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
1.4,29714148,30,990471.6,990568.5,970009,1012249,10632.1, 128   32    1, 256    1    1,gdn_chunk_output_f32
1.4,29546818,80,369335.2,367357.0,231134,520413,136514.0,32768    1    1, 256    1    1,"gather_act_f16_kernel(const float *, const int *, __half *, float *, int, int)"
1.3,27477865,2400,11449.1,10624.0,9632,16640,1647.6,   1    1    1, 256    1    1,add_rms_norm_f32
1.3,27271286,30,909042.9,910313.0,889338,934521,9701.0,  32 4096    1, 256    1    1,ssm_conv1d_gdn_state_f32
1.1,23465361,2460,9538.8,9536.0,9312,10016,96.5,   1    1    1, 256    1    1,rms_norm_f32
1.1,23148110,40,578702.8,576652.0,564668,638907,11703.1,   8 4096    1, 256    1    1,moe_pairs_scatter
1.1,22472701,2400,9363.6,9344.0,9152,10336,105.3,   1    1    1, 256    1    1,moe_router_topk_f32
1.1,22161845,60,369364.1,368797.0,367165,387933,3467.0,  32 4096    1, 128    1    1,qmatvec_q8_0_dp4a
1.0,21441691,30,714723.0,715130.5,708187,718267,2634.2, 128   32    1, 256    1    1,gdn_chunk_attn_f32
0.9,20008904,7262,2755.3,2688.0,2560,6240,315.0,   2    1    1,1024    1    1,quantize_q8_1
0.9,18680505,2400,7783.5,7648.0,7200,10848,508.1, 256    1    1,  32    4    1,qmatvec_q8_0_mmvq_fused2
0.8,17060256,40,426506.4,424284.5,420029,469213,8287.6,16384    1    1,1024    1    1,moe_pairs_silu_mul
0.8,16356587,2400,6815.2,6816.0,6368,7584,167.9, 256    1    1,  32    8    1,router_gemv_f32_w8
0.8,16149896,40,403747.4,404301.0,390013,429533,8896.2,  64    6    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
0.8,15847787,100,158477.9,158207.0,152062,166591,2260.8,   4   32    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
0.7,14460978,60,241016.3,240654.5,203487,281982,34578.0,16384    1    1, 256    1    1,l2_norm_pp_v2_f32
0.7,14004407,600,23340.7,23391.0,22688,23488,155.8,  16    1    1, 256    1    1,fa_decode_combine_seqs
0.7,13858424,80,173230.3,171823.0,49600,300190,122580.8,  16    6    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
0.6,13239455,30,441315.2,441053.0,434333,458556,4396.8, 128   32    1, 256    1    1,gdn_chunk_solve32_f32
0.6,13088121,1800,7271.2,7232.0,6752,8576,269.3,  32    1   32,  32    4    1,gdn_scan_s128_b
0.6,12884608,6,2147434.7,2123040.0,508733,3829028,1748439.3,  82    1    1,  32    8    1,"void moe_kq_sk128v_kernel<(int)2>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
0.6,12520989,40,313024.7,313453.0,303934,331998,5957.5,  32   96    1,  32    8    1,router_gemv_f32_w8_batch
0.6,12063975,3600,3351.1,3328.0,3104,4480,140.6,   8    1    1,  32    4    1,qmatvec_q8_0_mmvq
0.5,11409963,60,190166.0,192350.5,176126,208671,13818.4,8192    1    1,1024    1    1,quantize_q8_1
0.5,10966956,30,365565.2,364381.0,361981,374141,3237.4,131072    1    1, 128    1    1,gated_rmsnorm_f32
0.5,9576471,80,119705.9,119455.5,103936,138783,11867.2,2048    1    1,1024    1    1,add_f32
0.4,9371038,3000,3123.7,3136.0,2656,5088,326.8,   4    1    1,1024    1    1,quantize_q8_1
0.4,9045048,170,53206.2,37727.5,30752,83168,20713.4,4096    4    1, 128    1    1,"quantize_mmq_q8_1_d4_q8_0(const float *, void *, long, long, long, int)"
0.4,7707848,100,77078.5,77071.5,75712,79839,621.5,   4    6    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
0.4,7480619,40,187015.5,186894.5,185406,188766,862.4,8192    1    1,1024    1    1,add_scaled_rows_f32
0.3,7055840,30,235194.7,234941.5,230430,243646,2817.0,  32    6    1,  32    8    1,"void mul_mat_q_q8_0<(int)128, (bool)0>(const char *, const int *, float *, int, int, int, int, int, int)"
0.3,7016604,2400,2923.6,2912.0,2784,5664,81.0,   1    1    1,  32    8    1,sigmoid_dot_rows_f32
0.3,6771370,30,225712.3,225982.0,218334,231166,2823.4,  24   32    1, 256    1    1,gdn_chunk_output_f32
0.3,6771116,1200,5642.6,5600.0,4864,7392,340.8, 128    1    1,  32    4    1,qmatvec_q8_0_mmvq
0.3,6273098,2400,2613.8,2592.0,2432,3200,110.3,   1    1    1,1024    1    1,silu_mul_f32
0.3,6180821,2400,2575.3,2560.0,2432,2880,46.8,   1    1    1,1024    1    1,quantize_q8_1
0.3,6043186,6,1007197.7,1007144.5,868985,1189911,122361.9, 246    1    1,  32    4    1,"void moe_kq_sktail_kernel<(int)2>(const unsigned long long *, int, int, const int *, long, const __half *, float *, const float *, const int *, int, int, int, int, int, int)"
0.3,6028983,81,74431.9,74751.0,67455,88479,3975.3,4096    1    1, 256    1    1,rms_norm_f32
0.3,5886631,2400,2452.8,2464.0,2400,2688,22.4,   1    1    1,1024    1    1,add_f32
0.3,5861998,1800,3256.7,3232.0,3103,4000,81.3,  32    1    1, 128    1    1,gated_rmsnorm_q8_1
0.3,5810705,80,72633.8,68031.5,41152,112223,31218.7,6112    1    1, 256    1    1,"gather_act_f16_kernel(const float *, const int *, __half *, float *, int, int)"
0.3,5781324,2400,2408.9,2400.0,2336,2656,24.5,   2    1    1,1024    1    1,add_scaled_rows_f32
0.3,5521302,30,184043.4,183119.0,178975,197182,4352.9,  32  764    1, 256    1    1,ssm_conv1d_gdn_state_f32
0.3,5491117,1800,3050.6,3008.0,2816,3488,114.8,  32    1    1, 256    1    1,ssm_conv1d_fused_decode_b_f32
0.2,5166425,10,516642.5,516780.5,514428,517884,1009.7,16384    1    1,1024    1    1,q_gate_split_f32
0.2,5156312,40,128907.8,128943.0,121119,134303,2736.7,6112    1    1, 256    1    1,rows_permute_f32
0.2,5109497,40,127737.4,127695.0,127199,129567,357.3,4096    1    1, 256    1    1,moe_router_topk_f32
0.2,5016313,1800,2786.8,2784.0,2655,3168,74.0,  32    1    1,  32    4    1,gdn_prep_decode_b_f32
0.2,4431072,40,110776.8,110671.5,109631,112543,692.2,4096    8    1, 128    1    1,"quantize_mmq_q8_1_d4_q8_0(const float *, void *, long, long, long, int)"
0.2,4316859,60,71947.6,71968.0,70559,73440,774.6,  32  764    1, 128    1    1,qmatvec_q8_0_dp4a
0.2,3707974,30,123599.1,123871.5,121535,126751,1292.0,  24   32    1, 256    1    1,gdn_chunk_attn_f32
0.2,3461864,10,346186.4,346414.0,344093,347582,984.2,16384    1    1,1024    1    1,mul_f32
0.2,3229157,10,322915.7,322717.0,321406,324765,1068.8,16384    1    1,1024    1    1,sigmoid_f32
0.1,3044842,40,76121.1,75631.5,72671,82880,2384.8,3056    1    1,1024    1    1,moe_pairs_silu_mul
0.1,2930440,40,73261.0,73263.0,72096,75103,690.5,4096    1    1,  32    8    1,sigmoid_dot_rows_f32
0.1,2887243,30,96241.4,96783.0,92032,98687,1870.7,  24   32    1, 256    1    1,gdn_chunk_solve32_f32
0.1,2832325,10,283232.5,283117.0,281661,284636,1049.1,65536    1    1, 256    1    1,rms_norm_f32
0.1,2390509,40,59762.7,59744.0,56608,62272,1381.0,   8  764    1, 256    1    1,moe_pairs_scatter
0.1,2211632,81,27304.1,25792.0,20896,33280,4337.7, 764    1    1, 256    1    1,rms_norm_f32
0.1,2180338,40,54508.4,54383.5,51711,57535,1551.7,   2   76    1,  32    8    1,fa_decode_vec_q_seqs_v4
0.1,2146192,30,71539.7,71455.5,68511,77376,2065.8,24448    1    1, 128    1    1,gated_rmsnorm_f32
0.1,2104658,60,35077.6,35024.0,34720,35808,265.0,1528    1    1,1024    1    1,quantize_q8_1
0.1,1978989,600,3298.3,3296.0,3232,3488,26.9,  16    1    1,  32    1    1,append_quantize_kv_q8_0_q5_1_seqs
0.1,1867793,600,3113.0,3104.0,2944,3328,68.1,   4    1    1,1024    1    1,q_gate_split_f32
0.1,1762061,600,2936.8,2944.0,2848,3200,47.8,  16    1    1, 256    1    1,rms_norm_f32
0.1,1726926,600,2878.2,2880.0,2784,3104,35.8,   2    1    1, 256    1    1,rms_norm_f32
0.1,1675188,170,9854.0,8495.5,7392,15424,2846.8, 764    4    1, 128    1    1,"quantize_mmq_q8_1_d4_q8_0(const float *, void *, long, long, long, int)"
0.1,1634198,600,2723.7,2720.0,2624,2944,41.6,  16    1    1, 128    1    1,rope_neox_f32
0.1,1482099,600,2470.2,2464.0,2400,2528,27.5,   2    1    1, 128    1    1,rope_neox_f32
0.1,1277079,600,2128.5,2112.0,2079,2272,25.4,   4    1    1,1024    1    1,sigmoid_f32
0.1,1269205,80,15865.1,15888.0,15136,17120,454.9, 382    1    1,1024    1    1,add_f32
0.1,1252281,600,2087.1,2080.0,2047,2176,20.3,   4    1    1,1024    1    1,mul_f32
0.1,1187160,60,19786.0,19792.0,15199,25120,4132.9,3056    1    1, 256    1    1,l2_norm_pp_v2_f32
