[server] starting; models config = [("q27", "/opt/dl-image/nvme/models/Qwen3.6-27B-Q4_K_M.gguf", None)]
[worker] Engine ready (MEMRA_FAST=true)
[worker] loading model "q27" <- /opt/dl-image/nvme/models/Qwen3.6-27B-Q4_K_M.gguf
[q8rp] split-plane decode mirrors built: 449 tensors
[worker]   loaded "q27": 65 layers, eos=248046
[server] worker ready; serving models: ["q27"]
[server] listening on http://127.0.0.1:8186
[spec-acc] ctx=226 burst=12/12 cum=12/12=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=226 burst=12/12 cum=12/12=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=293 burst=24/24 cum=73/73=1.000
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=325 burst=18/30 cum=91/103=0.883
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=226 burst=24/24 cum=24/24=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
[spec-acc] ctx=259 burst=25/25 cum=49/49=1.000
