epoch_ms,mem_used_mib,admission_booked_bytes,cuda_driver_free_bytes,pool_reserved,pool_used,pool_cached
1790048270637,17205,0,0,0,0,0
1790048270887,17205,0,0,0,0,0
1790048271137,17205,0,0,0,0,0
1790048271387,17205,0,0,0,0,0
1790048271637,17461,0,0,0,0,0
1790048271887,18325,0,0,0,0,0
1790048272137,18325,0,82759516160,18589155328,17916489924,672665404
1790048272387,18325,0,82759516160,18589155328,17916489924,672665404
1790048272637,18325,0,82759516160,18589155328,17916489924,672665404
1790048272887,18325,0,82759516160,18589155328,17916489924,672665404
1790048273137,18325,0,82759516160,18589155328,17916489924,672665404
1790048273387,18325,0,82759516160,18589155328,17916489924,672665404
1790048273637,18325,0,82759516160,18589155328,17916489924,672665404
1790048273887,18325,0,82759516160,18589155328,17916489924,672665404
1790048274137,18997,0,82759516160,18589155328,17916489924,672665404
1790048274387,18997,0,82759516160,18589155328,17916489924,672665404
1790048274637,18997,0,82759516160,18589155328,17916489924,672665404
1790048274887,19029,0,82759516160,18589155328,17916489924,672665404
1790048275137,19029,0,82759516160,18589155328,17916489924,672665404
1790048275387,19029,0,82759516160,18589155328,17916489924,672665404
1790048275637,19029,0,82021318656,19327352832,18679139400,648213432
1790048275887,19029,0,82021318656,19327352832,18679139400,648213432
1790048276137,19029,0,82021318656,19327352832,18679139400,648213432
1790048276387,19029,0,82021318656,19327352832,18679139400,648213432
1790048276637,19029,0,82021318656,19327352832,18679139400,648213432
1790048276887,19029,0,82021318656,19327352832,18679139400,648213432
1790048277137,19029,0,82021318656,19327352832,18679139400,648213432
1790048277387,19029,0,82021318656,19327352832,18679139400,648213432
1790048277637,19733,0,82021318656,19327352832,18679139400,648213432
1790048277887,19733,0,82021318656,19327352832,18679139400,648213432
1790048278137,19733,0,82021318656,19327352832,18679139400,648213432
1790048278387,20533,0,82021318656,19327352832,18679139400,648213432
1790048278637,20533,0,82021318656,19327352832,18679139400,648213432
1790048278887,20533,0,82021318656,19327352832,18679139400,648213432
1790048279137,20533,0,82021318656,19327352832,18679139400,648213432
1790048279387,20533,0,82021318656,19327352832,18679139400,648213432
