pos	planes	extent_bytes	free_before	free_after	delta	equal	plane_labels
1863	17	35651584	85306179584	85270528000	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
2666	17	35651584	85270528000	85234876416	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
3791	17	35651584	85234876416	85199224832	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
5397	17	35651584	85199224832	85163573248	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
5718	17	35651584	85163573248	85127921664	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
7646	17	35651584	85127921664	85092270080	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
8127	17	35651584	85092270080	85056618496	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
9573	17	35651584	85056618496	85020966912	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
10858	17	35651584	85020966912	84985315328	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
11501	17	35651584	84985315328	84949663744	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
13428	17	35651584	84949663744	84914012160	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
13589	17	35651584	84914012160	84878360576	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
15356	17	35651584	84878360576	84842708992	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
16319	17	35651584	84842708992	84807057408	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
17283	17	35651584	84807057408	84771405824	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
19050	17	35651584	84771405824	84735754240	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
19211	17	35651584	84735754240	84700102656	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
21138	17	35651584	84700102656	84664451072	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
21781	17	35651584	84664451072	84628799488	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
23066	17	35651584	84628799488	84593147904	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
24511	17	35651584	84593147904	84557496320	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
24993	17	35651584	84557496320	84521844736	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
26921	17	35651584	84521844736	84486193152	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
27242	17	35651584	84486193152	84450541568	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
28848	17	35651584	84450541568	84414889984	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
29973	17	35651584	84414889984	84379238400	35651584	true	v3,v7,v11,v15,v19,v23,v27,v31,v35,v39,v43,v47,v51,v55,v59,v63,v64
30776	17	35651584	84379238400	84343586816	35651584	true	k3,k7,k11,k15,k19,k23,k27,k31,k35,k39,k43,k47,k51,k55,k59,k63,k64
32703	34	71303168	84343586816	84272283648	71303168	true	k3,v3,k7,v7,k11,v11,k15,v15,k19,v19,k23,v23,k27,v27,k31,v31,k35,v35,k39,v39,k43,v43,k47,v47,k51,v51,k55,v55,k59,v59,k63,v63,k64,v64
