Generating SQLite file /home/ubuntu/memra-cx-sigrouter/research/sigrouter-20260811/raw/box1-perf-arm-expf/nsys-rollback.sqlite from /home/ubuntu/memra-cx-sigrouter/research/sigrouter-20260811/raw/box1-perf-arm-expf/nsys-rollback.nsys-rep
Processing [/home/ubuntu/memra-cx-sigrouter/research/sigrouter-20260811/raw/box1-perf-arm-expf/nsys-rollback.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
35.6,11299151402,9503,1189008.9,331002.0,18310,51714277,3324841.2,cuMemcpyDtoHAsync_v2
35.4,11240474437,126,89210114.6,88920842.5,86692396,95800818,1437762.7,cuMemHostAlloc
14.8,4692784205,126,37244319.1,37180772.0,36273573,38551459,400438.8,cuMemFreeHost
5.4,1700551118,489962,3470.8,571.0,109,14992938,195982.4,cuMemAllocAsync
3.3,1054452465,48639,21679.2,2126.0,1446,41497413,474336.6,cuMemcpyHtoDAsync_v2
2.9,933235007,266909,3496.5,3058.0,2044,211713,4501.6,cuLaunchKernel
1.0,312493395,98670,3167.1,3119.0,2134,197401,1514.0,cuLaunchKernelEx
0.9,277879375,489949,567.2,525.0,119,11020554,15748.9,cuMemFreeAsync
0.5,150325082,64756,2321.4,2843.0,86,212182,1688.0,cuMemsetD8Async
0.1,36593882,9511,3847.5,3761.0,2121,18578,839.4,cuStreamSynchronize
0.1,27495783,18,1527543.5,672861.0,45489,5503772,1767455.3,cuModuleLoadData
0.1,20560555,3156,6514.8,3546.5,2520,4270032,80491.2,cudaLaunchKernel
0.0,3345740,551,6072.1,6099.0,3228,15101,982.7,cuMemcpyDtoDAsync_v2
0.0,2585030,876,2950.9,2768.5,662,13248,1386.7,cuStreamWaitEvent
0.0,2314543,7,330649.0,118758.0,14655,1807080,653214.0,cuModuleUnload
0.0,2273946,378,6015.7,5909.0,4255,13374,803.5,cuEventSynchronize
0.0,1026977,656,1565.5,1494.0,514,22789,1179.1,cuEventRecord
0.0,1006355,218,4616.3,4523.5,3925,13621,728.2,cuMemcpyPeerAsync
0.0,666342,3,222114.0,181547.0,85229,399566,161047.2,cuLibraryLoadData
0.0,532005,354,1502.8,1192.5,184,10089,707.9,cuEventCreate
0.0,402943,3156,127.7,120.0,88,1094,46.9,cuKernelGetName
0.0,378149,348,1086.6,791.0,281,13457,804.6,cuEventDestroy_v2
0.0,228749,8,28593.6,212.0,105,194098,67885.4,cuDeviceGetDefaultMemPool
0.0,205242,914,224.6,165.0,95,8980,356.9,cuGetProcAddress_v2
0.0,166463,901,184.8,156.0,94,3001,143.0,cuCtxSetCurrent
0.0,111307,7,15901.0,9080.0,2284,53398,17178.5,cuStreamCreate
0.0,109113,4,27278.3,22901.5,1012,62298,31020.1,cuMemPoolSetAccess
0.0,77409,3,25803.0,25217.0,23016,29176,3121.5,cuMemGetInfo_v2
0.0,47258,2,23629.0,23629.0,7991,39267,22115.5,cuStreamDestroy_v2
0.0,46083,1,46083.0,46083.0,46083,46083,0.0,cudaDeviceSynchronize
0.0,25633,5,5126.6,5469.0,2476,9177,2732.0,cuCtxSynchronize
0.0,7667,5,1533.4,1280.0,1176,2033,410.3,cuInit
0.0,5201,8,650.1,204.0,125,3423,1129.9,cuMemPoolSetAttribute
0.0,4871,6,811.8,476.5,369,1944,634.3,cudaGetDriverEntryPointByVersion
0.0,790,3,263.3,263.0,206,321,57.5,cuLibraryGetKernel
0.0,278,2,139.0,139.0,128,150,15.6,cuModuleGetLoadingMode

