
NOTICE: Existing SQLite export found: /home/ubuntu/memra-cx-sigrouter/research/sigrouter-20260811/raw/box1-perf-arm-expf/nsys-rollback.sqlite
        It is assumed file was previously exported from: /home/ubuntu/memra-cx-sigrouter/research/sigrouter-20260811/raw/box1-perf-arm-expf/nsys-rollback.nsys-rep
        Consider using --force-export=true if needed.

Processing [/home/ubuntu/memra-cx-sigrouter/research/sigrouter-20260811/raw/box1-perf-arm-expf/nsys-rollback.sqlite] with [/opt/nvidia/nsight-systems/2026.1.3/target-linux-x64/reports/cuda_gpu_mem_size_sum.py]... 
Total (MB),Count,Avg (MB),Med (MB),Min (MB),Max (MB),StdDev (MB),Operation
130930.378,48593,2.694,0.000,0.000,802.161,40.860,[CUDA memcpy Host-to-Device]
45357.950,55036,0.824,0.049,0.000,11.928,1.293,[CUDA memset]
205.488,551,0.373,0.016,0.016,4.100,0.795,[CUDA memcpy Device-to-Device]
146.410,9503,0.015,0.001,0.001,0.516,0.079,[CUDA memcpy Device-to-Host]
6.521,264,0.025,0.016,0.000,1.491,0.129,[CUDA memcpy Peer-to-Peer]

