# qwen4exp_real_gate	label=idxq1	binary_sha256=aa6ec1d17d9a10ca655edc8108dbc401b5375a5071f94544381d3f5b5f3d32c8	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# seam-gate (idxq): OFF arm vs ON arm, same fed tokens (OFF argmax chain)
step	fed	max_abs	max_rel	ref_absmax	kl_off_on	top1_off	top1_on	match
0	271	0.000e0	0.000e0	1.363e1	0.00000	248045	248045	true
1	248045	0.000e0	0.000e0	1.252e1	0.00000	271	271	true
2	271	0.000e0	0.000e0	1.546e1	0.00000	248045	248045	true
3	248045	0.000e0	0.000e0	1.459e1	0.00000	271	271	true
4	271	0.000e0	0.000e0	1.799e1	0.00000	248045	248045	true
5	248045	0.000e0	0.000e0	1.763e1	0.00000	248046	248046	true
6	248046	0.000e0	0.000e0	2.538e1	0.00000	198	198	true
7	198	0.000e0	0.000e0	3.000e1	0.00000	248045	248045	true
8	248045	0.000e0	0.000e0	2.373e1	0.00000	846	846	true
9	846	0.000e0	0.000e0	2.006e1	0.00000	198	198	true
10	198	0.000e0	0.000e0	1.544e1	0.00000	248045	248045	true
11	248045	0.000e0	0.000e0	1.631e1	0.00000	248046	248046	true
12	248046	0.000e0	0.000e0	3.618e1	0.00000	198	198	true
13	198	0.000e0	0.000e0	2.937e1	0.00000	248045	248045	true
14	248045	0.000e0	0.000e0	1.836e1	0.00000	74455	74455	true
15	74455	0.000e0	0.000e0	2.059e1	0.00000	198	198	true
16	198	0.000e0	0.000e0	3.215e1	0.00000	248068	248068	true
17	248068	0.000e0	0.000e0	2.496e1	0.00000	198	198	true
18	198	0.000e0	0.000e0	2.163e1	0.00000	760	760	true
19	760	0.000e0	0.000e0	2.170e1	0.00000	1156	1156	true
20	1156	0.000e0	0.000e0	2.159e1	0.00000	682	682	true
21	682	0.000e0	0.000e0	2.280e1	0.00000	3106	3106	true
22	3106	0.000e0	0.000e0	2.185e1	0.00000	328	328	true
23	328	0.000e0	0.000e0	1.969e1	0.00000	248045	248045	true
# verdict	steps=24	argmax_matches=24	worst_abs=0.000e0	worst_rel=0.000e0	worst_kl=0.00000
