# qwen4exp_real_gate	label=kvq1	binary_sha256=aa6ec1d17d9a10ca655edc8108dbc401b5375a5071f94544381d3f5b5f3d32c8	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=false	spec_opts=SpecOpts { dynk: None, adapt_k_lo: None, pmin: 0.0, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# seam-gate (kvq): OFF arm vs ON arm, same fed tokens (OFF argmax chain)
step	fed	max_abs	max_rel	ref_absmax	kl_off_on	top1_off	top1_on	match
0	271	2.583e0	2.287e0	1.363e1	0.10849	248045	248045	true
1	248045	3.427e0	3.207e0	1.252e1	0.58257	271	74455	false
2	271	1.811e0	1.690e0	1.546e1	0.03129	248045	248045	true
3	248045	3.327e0	3.245e0	1.459e1	0.16505	271	271	true
4	271	2.787e0	2.787e0	1.799e1	0.01770	248045	248045	true
5	248045	2.451e0	2.299e0	1.763e1	0.01610	248046	248046	true
6	248046	1.521e0	1.282e0	2.538e1	0.00028	198	198	true
7	198	1.013e0	9.761e-1	3.000e1	0.00000	248045	248045	true
8	248045	2.264e0	1.621e0	2.373e1	0.07218	846	846	true
9	846	3.027e0	2.818e0	2.006e1	0.43023	198	198	true
10	198	2.019e0	2.019e0	1.544e1	0.08936	248045	248046	false
11	248045	5.291e0	5.291e0	1.631e1	0.12537	248046	248046	true
12	248046	2.153e0	2.153e0	3.618e1	0.00000	198	198	true
13	198	3.397e0	2.037e0	2.937e1	0.00001	248045	248045	true
14	248045	2.090e0	1.966e0	1.836e1	0.01777	74455	74455	true
15	74455	1.110e0	1.011e0	2.059e1	0.01117	198	198	true
16	198	3.070e0	2.614e0	3.215e1	0.00000	248068	248068	true
17	248068	3.395e0	3.174e0	2.496e1	0.44421	198	198	true
18	198	2.239e0	1.848e0	2.163e1	0.00097	760	760	true
19	760	1.654e0	1.583e0	2.170e1	0.00011	1156	1156	true
20	1156	1.002e0	9.703e-1	2.159e1	0.01819	682	682	true
21	682	1.055e0	8.896e-1	2.280e1	0.01784	3106	3106	true
22	3106	1.758e0	1.473e0	2.185e1	0.01078	328	328	true
23	328	1.924e0	1.737e0	1.969e1	0.00577	248045	248045	true
# verdict	steps=24	argmax_matches=22	worst_abs=5.291e0	worst_rel=5.291e0	worst_kl=0.58257
